[evo_logo_L5_s6] start fitness 3269 / 4096  restart after 90s without gain
[2026-09-25 00:16:18] evo_logo_L5_s6     10s  best 3661/4096  current 3661  restarts 0  iters 342204  (34219/s)  best gates cx 25 tof 15
[2026-09-25 00:16:33] evo_logo_L5_s6     25s  best 3665/4096  current 3665  restarts 0  iters 874620  (35113/s)  best gates cx 23 tof 17
[2026-09-25 00:16:48] evo_logo_L5_s6     40s  best 3813/4096  current 3813  restarts 0  iters 1437428  (36221/s)  best gates cx 28 tof 19
[2026-09-25 00:17:03] evo_logo_L5_s6     55s  best 3837/4096  current 3837  restarts 0  iters 2015749  (36736/s)  best gates cx 29 tof 18
[2026-09-25 00:17:18] evo_logo_L5_s6     70s  best 3837/4096  current 3837  restarts 0  iters 2586087  (37135/s)  best gates cx 29 tof 18
[2026-09-25 00:17:33] evo_logo_L5_s6     85s  best 3837/4096  current 3837  restarts 0  iters 3173717  (37484/s)  best gates cx 29 tof 18
[2026-09-25 00:17:48] evo_logo_L5_s6    100s  best 3837/4096  current 3837  restarts 0  iters 3750090  (37620/s)  best gates cx 29 tof 18
[2026-09-25 00:18:03] evo_logo_L5_s6    114s  best 3837/4096  current 3837  restarts 0  iters 4334678  (37871/s)  best gates cx 29 tof 18
[2026-09-25 00:18:13] evo_logo_L5_s6    125s  best 3837/4096  current 3837  restarts 0  iters 4731894  (37973/s)  best gates cx 29 tof 18
[2026-09-25 00:18:28] evo_logo_L5_s6    139s  best 3837/4096  current 3837  restarts 0  iters 5324297  (38183/s)  best gates cx 29 tof 18
[2026-09-25 00:18:38] evo_logo_L5_s6    150s  best 3837/4096  current 3837  restarts 0  iters 5722072  (38201/s)  best gates cx 29 tof 18
[2026-09-25 00:18:48] evo_logo_L5_s6    160s  best 3837/4096  current 3711  restarts 1  iters 6075453  (37945/s)  best gates cx 29 tof 18
[2026-09-25 00:18:59] evo_logo_L5_s6    170s  best 3837/4096  current 3777  restarts 1  iters 6435042  (37812/s)  best gates cx 29 tof 18
[2026-09-25 00:19:13] evo_logo_L5_s6    185s  best 3837/4096  current 3825  restarts 1  iters 6977821  (37717/s)  best gates cx 29 tof 18
[2026-09-25 00:19:28] evo_logo_L5_s6    200s  best 3839/4096  current 3839  restarts 1  iters 7539312  (37684/s)  best gates cx 30 tof 19
