[evo_logo_L5_s1_c3] start fitness 3269 / 4096  restart after 90s without gain
[2026-09-25 00:16:20] evo_logo_L5_s1_c3     12s  best 3605/4096  current 3605  restarts 0  iters 263561  (22194/s)  best gates cx 79 tof 14
[2026-09-25 00:16:35] evo_logo_L5_s1_c3     26s  best 3683/4096  current 3683  restarts 0  iters 611642  (23263/s)  best gates cx 77 tof 15
[2026-09-25 00:16:50] evo_logo_L5_s1_c3     42s  best 3693/4096  current 3693  restarts 0  iters 994271  (23947/s)  best gates cx 81 tof 15
[2026-09-25 00:17:05] evo_logo_L5_s1_c3     57s  best 3693/4096  current 3693  restarts 0  iters 1375493  (24286/s)  best gates cx 81 tof 15
[2026-09-25 00:17:20] evo_logo_L5_s1_c3     71s  best 3693/4096  current 3693  restarts 0  iters 1745496  (24485/s)  best gates cx 81 tof 15
[2026-09-25 00:17:30] evo_logo_L5_s1_c3     81s  best 3729/4096  current 3729  restarts 0  iters 1997189  (24542/s)  best gates cx 81 tof 17
[2026-09-25 00:17:45] evo_logo_L5_s1_c3     96s  best 3729/4096  current 3729  restarts 0  iters 2378642  (24706/s)  best gates cx 81 tof 17
[2026-09-25 00:17:59] evo_logo_L5_s1_c3    111s  best 3729/4096  current 3729  restarts 0  iters 2769952  (24952/s)  best gates cx 81 tof 17
[2026-09-25 00:18:09] evo_logo_L5_s1_c3    121s  best 3729/4096  current 3729  restarts 0  iters 3042355  (25122/s)  best gates cx 81 tof 17
[2026-09-25 00:18:20] evo_logo_L5_s1_c3    131s  best 3743/4096  current 3743  restarts 0  iters 3302473  (25161/s)  best gates cx 75 tof 15
[2026-09-25 00:18:30] evo_logo_L5_s1_c3    141s  best 3759/4096  current 3759  restarts 0  iters 3558114  (25181/s)  best gates cx 78 tof 17
[2026-09-25 00:18:44] evo_logo_L5_s1_c3    156s  best 3759/4096  current 3759  restarts 0  iters 3951591  (25330/s)  best gates cx 78 tof 17
[2026-09-25 00:18:55] evo_logo_L5_s1_c3    166s  best 3759/4096  current 3759  restarts 0  iters 4213858  (25329/s)  best gates cx 78 tof 17
[2026-09-25 00:19:05] evo_logo_L5_s1_c3    176s  best 3759/4096  current 3759  restarts 0  iters 4465847  (25314/s)  best gates cx 78 tof 17
[2026-09-25 00:19:20] evo_logo_L5_s1_c3    191s  best 3759/4096  current 3759  restarts 0  iters 4845243  (25312/s)  best gates cx 78 tof 17
[2026-09-25 00:19:30] evo_logo_L5_s1_c3    201s  best 3759/4096  current 3759  restarts 0  iters 5094712  (25285/s)  best gates cx 78 tof 17
[2026-09-25 00:19:45] evo_logo_L5_s1_c3    216s  best 3759/4096  current 3759  restarts 0  iters 5470049  (25284/s)  best gates cx 78 tof 17
[2026-09-25 00:19:55] evo_logo_L5_s1_c3    227s  best 3759/4096  current 3759  restarts 0  iters 5718771  (25247/s)  best gates cx 78 tof 17
[2026-09-25 00:20:05] evo_logo_L5_s1_c3    237s  best 3759/4096  current 3633  restarts 1  iters 5949639  (25107/s)  best gates cx 78 tof 17
[2026-09-25 00:20:20] evo_logo_L5_s1_c3    252s  best 3759/4096  current 3693  restarts 1  iters 6307056  (25046/s)  best gates cx 78 tof 17
[2026-09-25 00:20:30] evo_logo_L5_s1_c3    262s  best 3759/4096  current 3693  restarts 1  iters 6539318  (24969/s)  best gates cx 78 tof 17
[2026-09-25 00:20:45] evo_logo_L5_s1_c3    277s  best 3759/4096  current 3733  restarts 1  iters 6893633  (24915/s)  best gates cx 78 tof 17
[2026-09-25 00:21:00] evo_logo_L5_s1_c3    291s  best 3761/4096  current 3761  restarts 1  iters 7272473  (24949/s)  best gates cx 72 tof 18
[2026-09-25 00:21:10] evo_logo_L5_s1_c3    302s  best 3761/4096  current 3761  restarts 1  iters 7526667  (24958/s)  best gates cx 72 tof 18
[2026-09-25 00:21:20] evo_logo_L5_s1_c3    312s  best 3761/4096  current 3761  restarts 1  iters 7777906  (24956/s)  best gates cx 72 tof 18
[2026-09-25 00:21:35] evo_logo_L5_s1_c3    327s  best 3761/4096  current 3761  restarts 1  iters 8153369  (24959/s)  best gates cx 72 tof 18
