[basis s3] it 42193  cur 387  best 381  10s
[basis s3] it 86278  cur 358  best 348  20s
[basis s3] it 131298  cur 334  best 334  30s
[basis s3] it 174076  cur 334  best 334  40s
[basis s3] it 217060  cur 334  best 334  50s
[basis s3] it 259978  cur 334  best 334  60s
[basis s3] it 303161  cur 334  best 334  70s
[basis s3] it 347927  cur 334  best 334  80s
[basis s3] it 392026  cur 334  best 334  90s
[basis s3] it 436373  cur 334  best 334  100s
[basis s3] it 479789  cur 334  best 334  110s
[basis s3] it 526692  cur 310  best 310  120s
[basis s3] it 570904  cur 310  best 310  130s
[basis s3] it 615768  cur 310  best 310  140s
[basis s3] it 658913  cur 310  best 310  150s
[basis s3] it 704002  cur 310  best 310  160s
[basis s3] it 745922  cur 310  best 310  170s
[basis s3] it 790064  cur 310  best 310  180s
[basis s3] it 833751  cur 310  best 310  190s
[basis s3] it 877987  cur 310  best 310  200s
[basis s3] it 921462  cur 310  best 310  210s
[basis s3] it 966761  cur 310  best 310  220s
[basis s3] it 1011668  cur 310  best 310  230s
[basis s3] it 1056521  cur 310  best 310  240s
[basis s3] it 1100516  cur 310  best 310  250s
[basis s3] it 1144644  cur 310  best 310  260s
[basis s3] it 1189526  cur 310  best 310  270s
[basis s3] it 1233813  cur 310  best 310  280s
[basis s3] it 1278084  cur 310  best 310  290s
[basis s3] it 1321502  cur 310  best 310  300s
[basis s3] it 1364544  cur 310  best 310  310s
[basis s3] it 1409920  cur 310  best 310  320s
[basis s3] it 1452906  cur 310  best 310  330s
[basis s3] it 1497112  cur 310  best 310  340s
[basis s3] final best 310 monomials  cols [1, 2, 14, 8, 3839, 3307, 64, 192, 256, 518, 571, 1779] c 64
