start: weighted high-degree cost 1263  monomials 286  max degree 12  (gates per step 2772, BEAM 1)
step  1  best cost (1148, 250, 12)  beam costs [1148]  1s
step  2  best cost (1098, 242, 12)  beam costs [1098]  1s
step  3  best cost (1068, 238, 12)  beam costs [1068]  1s
step  4  best cost (1027, 220, 12)  beam costs [1027]  2s
step  5  best cost (933, 202, 12)  beam costs [933]  2s
step  6  best cost (904, 196, 12)  beam costs [904]  3s
step  7  best cost (880, 192, 12)  beam costs [880]  4s
step  8  best cost (858, 184, 12)  beam costs [858]  4s
step  9  best cost (834, 180, 12)  beam costs [834]  4s
step 10  best cost (824, 178, 12)  beam costs [824]  5s
step 11  best cost (824, 178, 12)  beam costs [824]  5s
step 12  best cost (824, 178, 12)  beam costs [824]  6s
step 13  best cost (824, 178, 12)  beam costs [824]  6s
step 14  best cost (824, 178, 12)  beam costs [824]  7s
step 15  best cost (824, 178, 12)  beam costs [824]  7s
step 16  best cost (824, 178, 12)  beam costs [824]  8s
step 17  best cost (824, 178, 12)  beam costs [824]  8s
step 18  best cost (824, 178, 12)  beam costs [824]  9s
step 19  best cost (824, 178, 12)  beam costs [824]  9s
step 20  best cost (824, 178, 12)  beam costs [824]  10s
step 21  best cost (824, 178, 12)  beam costs [824]  10s
step 22  best cost (824, 178, 12)  beam costs [824]  11s
step 23  best cost (824, 178, 12)  beam costs [824]  11s
step 24  best cost (824, 178, 12)  beam costs [824]  12s
step 25  best cost (824, 178, 12)  beam costs [824]  12s
step 26  best cost (824, 178, 12)  beam costs [824]  13s
step 27  best cost (824, 178, 12)  beam costs [824]  13s
step 28  best cost (824, 178, 12)  beam costs [824]  14s
step 29  best cost (824, 178, 12)  beam costs [824]  14s
step 30  best cost (824, 178, 12)  beam costs [824]  15s
step 31  best cost (824, 178, 12)  beam costs [824]  15s
step 32  best cost (824, 178, 12)  beam costs [824]  16s
step 33  best cost (824, 178, 12)  beam costs [824]  16s
step 34  best cost (824, 178, 12)  beam costs [824]  17s
step 35  best cost (824, 178, 12)  beam costs [824]  17s
step 36  best cost (824, 178, 12)  beam costs [824]  18s
step 37  best cost (824, 178, 12)  beam costs [824]  18s
step 38  best cost (824, 178, 12)  beam costs [824]  19s
step 39  best cost (824, 178, 12)  beam costs [824]  19s
step 40  best cost (824, 178, 12)  beam costs [824]  20s
step 41  best cost (824, 178, 12)  beam costs [824]  20s
step 42  best cost (824, 178, 12)  beam costs [824]  21s
step 43  best cost (824, 178, 12)  beam costs [824]  21s
step 44  best cost (824, 178, 12)  beam costs [824]  22s
step 45  best cost (824, 178, 12)  beam costs [824]  22s
step 46  best cost (824, 178, 12)  beam costs [824]  23s
step 47  best cost (824, 178, 12)  beam costs [824]  23s
step 48  best cost (824, 178, 12)  beam costs [824]  24s
step 49  best cost (824, 178, 12)  beam costs [824]  24s
step 50  best cost (824, 178, 12)  beam costs [824]  25s
step 51  best cost (824, 178, 12)  beam costs [824]  25s
step 52  best cost (824, 178, 12)  beam costs [824]  26s
step 53  best cost (824, 178, 12)  beam costs [824]  26s
step 54  best cost (824, 178, 12)  beam costs [824]  27s
step 55  best cost (824, 178, 12)  beam costs [824]  27s
step 56  best cost (824, 178, 12)  beam costs [824]  28s
step 57  best cost (824, 178, 12)  beam costs [824]  28s
step 58  best cost (824, 178, 12)  beam costs [824]  29s
step 59  best cost (824, 178, 12)  beam costs [824]  29s
step 60  best cost (824, 178, 12)  beam costs [824]  30s
step 61  best cost (824, 178, 12)  beam costs [824]  30s
step 62  best cost (824, 178, 12)  beam costs [824]  31s
step 63  best cost (824, 178, 12)  beam costs [824]  31s
step 64  best cost (824, 178, 12)  beam costs [824]  31s
step 65  best cost (824, 178, 12)  beam costs [824]  32s
step 66  best cost (824, 178, 12)  beam costs [824]  32s
step 67  best cost (824, 178, 12)  beam costs [824]  33s
step 68  best cost (824, 178, 12)  beam costs [824]  33s
step 69  best cost (824, 178, 12)  beam costs [824]  34s
step 70  best cost (824, 178, 12)  beam costs [824]  34s
step 71  best cost (824, 178, 12)  beam costs [824]  35s
step 72  best cost (824, 178, 12)  beam costs [824]  36s
step 73  best cost (824, 178, 12)  beam costs [824]  36s
step 74  best cost (824, 178, 12)  beam costs [824]  37s
step 75  best cost (824, 178, 12)  beam costs [824]  37s
step 76  best cost (824, 178, 12)  beam costs [824]  37s
step 77  best cost (824, 178, 12)  beam costs [824]  38s
step 78  best cost (824, 178, 12)  beam costs [824]  38s
step 79  best cost (824, 178, 12)  beam costs [824]  39s
step 80  best cost (824, 178, 12)  beam costs [824]  39s
step 81  best cost (824, 178, 12)  beam costs [824]  40s
step 82  best cost (824, 178, 12)  beam costs [824]  40s
step 83  best cost (824, 178, 12)  beam costs [824]  41s
step 84  best cost (824, 178, 12)  beam costs [824]  41s
step 85  best cost (824, 178, 12)  beam costs [824]  42s
step 86  best cost (824, 178, 12)  beam costs [824]  42s
step 87  best cost (824, 178, 12)  beam costs [824]  43s
step 88  best cost (824, 178, 12)  beam costs [824]  43s
step 89  best cost (824, 178, 12)  beam costs [824]  44s
step 90  best cost (824, 178, 12)  beam costs [824]  44s
step 91  best cost (824, 178, 12)  beam costs [824]  45s
