[evo_logo_L5_s4_k3] start fitness 3337 / 4096  restart after 300s without gain
[2026-09-24 23:32:40] evo_logo_L5_s4_k3     13s  best 3611/4096  current 3611  restarts 0  iters 44762  (3513/s)  best gates cx 31 tof 16
[2026-09-24 23:32:50] evo_logo_L5_s4_k3     23s  best 3649/4096  current 3649  restarts 0  iters 81144  (3567/s)  best gates cx 29 tof 17
[2026-09-24 23:33:05] evo_logo_L5_s4_k3     38s  best 3659/4096  current 3659  restarts 0  iters 135330  (3594/s)  best gates cx 31 tof 19
[2026-09-24 23:33:20] evo_logo_L5_s4_k3     53s  best 3659/4096  current 3659  restarts 0  iters 189999  (3617/s)  best gates cx 31 tof 19
[2026-09-24 23:33:30] evo_logo_L5_s4_k3     63s  best 3659/4096  current 3659  restarts 0  iters 227484  (3625/s)  best gates cx 31 tof 19
[2026-09-24 23:33:40] evo_logo_L5_s4_k3     73s  best 3659/4096  current 3659  restarts 0  iters 263159  (3609/s)  best gates cx 31 tof 19
[2026-09-24 23:33:55] evo_logo_L5_s4_k3     88s  best 3659/4096  current 3659  restarts 0  iters 316341  (3599/s)  best gates cx 31 tof 19
[2026-09-24 23:34:10] evo_logo_L5_s4_k3    103s  best 3659/4096  current 3659  restarts 0  iters 369594  (3601/s)  best gates cx 31 tof 19
[2026-09-24 23:34:20] evo_logo_L5_s4_k3    113s  best 3659/4096  current 3659  restarts 0  iters 406063  (3602/s)  best gates cx 31 tof 19
[2026-09-24 23:34:30] evo_logo_L5_s4_k3    123s  best 3661/4096  current 3661  restarts 0  iters 442165  (3599/s)  best gates cx 29 tof 21
[2026-09-24 23:34:45] evo_logo_L5_s4_k3    138s  best 3663/4096  current 3663  restarts 0  iters 496827  (3611/s)  best gates cx 29 tof 19
[2026-09-24 23:34:55] evo_logo_L5_s4_k3    148s  best 3699/4096  current 3699  restarts 0  iters 533872  (3617/s)  best gates cx 29 tof 17
[2026-09-24 23:35:05] evo_logo_L5_s4_k3    158s  best 3701/4096  current 3701  restarts 0  iters 570487  (3615/s)  best gates cx 28 tof 21
[2026-09-24 23:35:20] evo_logo_L5_s4_k3    173s  best 3705/4096  current 3705  restarts 0  iters 624795  (3618/s)  best gates cx 30 tof 18
[2026-09-24 23:35:35] evo_logo_L5_s4_k3    188s  best 3705/4096  current 3705  restarts 0  iters 679925  (3619/s)  best gates cx 30 tof 18
[2026-09-24 23:35:45] evo_logo_L5_s4_k3    198s  best 3705/4096  current 3705  restarts 0  iters 716060  (3618/s)  best gates cx 30 tof 18
[2026-09-24 23:36:00] evo_logo_L5_s4_k3    213s  best 3707/4096  current 3707  restarts 0  iters 770428  (3621/s)  best gates cx 32 tof 21
[2026-09-24 23:36:15] evo_logo_L5_s4_k3    228s  best 3711/4096  current 3711  restarts 0  iters 826099  (3629/s)  best gates cx 32 tof 21
[2026-09-24 23:36:25] evo_logo_L5_s4_k3    238s  best 3711/4096  current 3711  restarts 0  iters 863509  (3632/s)  best gates cx 32 tof 21
[2026-09-24 23:36:40] evo_logo_L5_s4_k3    253s  best 3723/4096  current 3723  restarts 0  iters 918595  (3634/s)  best gates cx 30 tof 21
[2026-09-24 23:36:55] evo_logo_L5_s4_k3    268s  best 3723/4096  current 3723  restarts 0  iters 973654  (3637/s)  best gates cx 30 tof 21
[2026-09-24 23:37:05] evo_logo_L5_s4_k3    278s  best 3723/4096  current 3723  restarts 0  iters 1010693  (3638/s)  best gates cx 30 tof 21
[2026-09-24 23:37:20] evo_logo_L5_s4_k3    293s  best 3723/4096  current 3723  restarts 0  iters 1065073  (3638/s)  best gates cx 30 tof 21
[2026-09-24 23:37:35] evo_logo_L5_s4_k3    308s  best 3723/4096  current 3723  restarts 0  iters 1120494  (3641/s)  best gates cx 30 tof 21
[2026-09-24 23:37:50] evo_logo_L5_s4_k3    323s  best 3723/4096  current 3723  restarts 0  iters 1175460  (3642/s)  best gates cx 30 tof 21
[2026-09-24 23:38:05] evo_logo_L5_s4_k3    338s  best 3723/4096  current 3723  restarts 0  iters 1231341  (3648/s)  best gates cx 30 tof 21
[2026-09-24 23:38:15] evo_logo_L5_s4_k3    348s  best 3723/4096  current 3723  restarts 0  iters 1268425  (3649/s)  best gates cx 30 tof 21
[2026-09-24 23:38:25] evo_logo_L5_s4_k3    358s  best 3723/4096  current 3723  restarts 0  iters 1305428  (3650/s)  best gates cx 30 tof 21
[2026-09-24 23:38:35] evo_logo_L5_s4_k3    368s  best 3723/4096  current 3723  restarts 0  iters 1342245  (3650/s)  best gates cx 30 tof 21
[2026-09-24 23:38:45] evo_logo_L5_s4_k3    378s  best 3723/4096  current 3723  restarts 0  iters 1378855  (3649/s)  best gates cx 30 tof 21
[2026-09-24 23:39:00] evo_logo_L5_s4_k3    393s  best 3723/4096  current 3723  restarts 0  iters 1433498  (3650/s)  best gates cx 30 tof 21
[2026-09-24 23:39:15] evo_logo_L5_s4_k3    408s  best 3723/4096  current 3723  restarts 0  iters 1488659  (3651/s)  best gates cx 30 tof 21
[2026-09-24 23:39:30] evo_logo_L5_s4_k3    423s  best 3723/4096  current 3723  restarts 0  iters 1544684  (3654/s)  best gates cx 30 tof 21
[2026-09-24 23:39:45] evo_logo_L5_s4_k3    438s  best 3723/4096  current 3723  restarts 0  iters 1600429  (3655/s)  best gates cx 30 tof 21
[2026-09-24 23:40:00] evo_logo_L5_s4_k3    453s  best 3723/4096  current 3723  restarts 0  iters 1655605  (3656/s)  best gates cx 30 tof 21
[2026-09-24 23:40:10] evo_logo_L5_s4_k3    463s  best 3723/4096  current 3723  restarts 0  iters 1691985  (3655/s)  best gates cx 30 tof 21
[2026-09-24 23:40:25] evo_logo_L5_s4_k3    478s  best 3723/4096  current 3723  restarts 0  iters 1746391  (3655/s)  best gates cx 30 tof 21
[2026-09-24 23:40:35] evo_logo_L5_s4_k3    488s  best 3723/4096  current 3723  restarts 0  iters 1782892  (3654/s)  best gates cx 30 tof 21
[2026-09-24 23:40:50] evo_logo_L5_s4_k3    503s  best 3723/4096  current 3723  restarts 0  iters 1838094  (3656/s)  best gates cx 30 tof 21
[2026-09-24 23:41:00] evo_logo_L5_s4_k3    513s  best 3723/4096  current 3723  restarts 0  iters 1874849  (3655/s)  best gates cx 30 tof 21
[2026-09-24 23:41:15] evo_logo_L5_s4_k3    528s  best 3723/4096  current 3723  restarts 0  iters 1929445  (3656/s)  best gates cx 30 tof 21
[2026-09-24 23:41:25] evo_logo_L5_s4_k3    538s  best 3723/4096  current 3723  restarts 0  iters 1966439  (3657/s)  best gates cx 30 tof 21
[2026-09-24 23:41:35] evo_logo_L5_s4_k3    548s  best 3723/4096  current 3723  restarts 0  iters 2003055  (3657/s)  best gates cx 30 tof 21
[2026-09-24 23:41:45] evo_logo_L5_s4_k3    558s  best 3723/4096  current 3569  restarts 1  iters 2039708  (3656/s)  best gates cx 30 tof 21
[2026-09-24 23:42:00] evo_logo_L5_s4_k3    573s  best 3723/4096  current 3569  restarts 1  iters 2095136  (3658/s)  best gates cx 30 tof 21
[2026-09-24 23:42:10] evo_logo_L5_s4_k3    583s  best 3723/4096  current 3569  restarts 1  iters 2132146  (3658/s)  best gates cx 30 tof 21
[2026-09-24 23:42:25] evo_logo_L5_s4_k3    598s  best 3723/4096  current 3591  restarts 1  iters 2187116  (3659/s)  best gates cx 30 tof 21
[2026-09-24 23:42:35] evo_logo_L5_s4_k3    608s  best 3723/4096  current 3713  restarts 1  iters 2224216  (3659/s)  best gates cx 30 tof 21
[2026-09-24 23:42:45] evo_logo_L5_s4_k3    618s  best 3723/4096  current 3713  restarts 1  iters 2260976  (3660/s)  best gates cx 30 tof 21
[2026-09-24 23:42:55] evo_logo_L5_s4_k3    628s  best 3723/4096  current 3713  restarts 1  iters 2297457  (3659/s)  best gates cx 30 tof 21
[2026-09-24 23:43:10] evo_logo_L5_s4_k3    643s  best 3723/4096  current 3713  restarts 1  iters 2352425  (3659/s)  best gates cx 30 tof 21
[2026-09-24 23:43:25] evo_logo_L5_s4_k3    658s  best 3723/4096  current 3713  restarts 1  iters 2407121  (3658/s)  best gates cx 30 tof 21
[2026-09-24 23:43:40] evo_logo_L5_s4_k3    673s  best 3723/4096  current 3713  restarts 1  iters 2461490  (3658/s)  best gates cx 30 tof 21
[2026-09-24 23:43:50] evo_logo_L5_s4_k3    683s  best 3723/4096  current 3713  restarts 1  iters 2497552  (3657/s)  best gates cx 30 tof 21
[2026-09-24 23:44:05] evo_logo_L5_s4_k3    698s  best 3723/4096  current 3713  restarts 1  iters 2552117  (3656/s)  best gates cx 30 tof 21
[2026-09-24 23:44:20] evo_logo_L5_s4_k3    713s  best 3723/4096  current 3713  restarts 1  iters 2606400  (3656/s)  best gates cx 30 tof 21
[2026-09-24 23:44:30] evo_logo_L5_s4_k3    723s  best 3723/4096  current 3713  restarts 1  iters 2643139  (3656/s)  best gates cx 30 tof 21
[2026-09-24 23:44:45] evo_logo_L5_s4_k3    738s  best 3723/4096  current 3713  restarts 1  iters 2697339  (3657/s)  best gates cx 30 tof 21
[2026-09-24 23:44:55] evo_logo_L5_s4_k3    748s  best 3723/4096  current 3713  restarts 1  iters 2734649  (3656/s)  best gates cx 30 tof 21
[2026-09-24 23:45:10] evo_logo_L5_s4_k3    763s  best 3729/4096  current 3729  restarts 1  iters 2789400  (3656/s)  best gates cx 24 tof 14
[2026-09-24 23:45:25] evo_logo_L5_s4_k3    778s  best 3733/4096  current 3733  restarts 1  iters 2844535  (3657/s)  best gates cx 23 tof 17
[2026-09-24 23:45:35] evo_logo_L5_s4_k3    788s  best 3733/4096  current 3733  restarts 1  iters 2880991  (3657/s)  best gates cx 23 tof 17
[2026-09-24 23:45:45] evo_logo_L5_s4_k3    798s  best 3733/4096  current 3733  restarts 1  iters 2918184  (3656/s)  best gates cx 23 tof 17
[2026-09-24 23:46:00] evo_logo_L5_s4_k3    813s  best 3733/4096  current 3733  restarts 1  iters 2972214  (3656/s)  best gates cx 23 tof 17
[2026-09-24 23:46:10] evo_logo_L5_s4_k3    823s  best 3733/4096  current 3733  restarts 1  iters 3008532  (3655/s)  best gates cx 23 tof 17
[2026-09-24 23:46:25] evo_logo_L5_s4_k3    838s  best 3733/4096  current 3733  restarts 1  iters 3062873  (3655/s)  best gates cx 23 tof 17
[2026-09-24 23:46:35] evo_logo_L5_s4_k3    848s  best 3733/4096  current 3733  restarts 1  iters 3099389  (3655/s)  best gates cx 23 tof 17
[2026-09-24 23:46:50] evo_logo_L5_s4_k3    863s  best 3733/4096  current 3733  restarts 1  iters 3154416  (3655/s)  best gates cx 23 tof 17
[2026-09-24 23:47:05] evo_logo_L5_s4_k3    878s  best 3733/4096  current 3733  restarts 1  iters 3208426  (3654/s)  best gates cx 23 tof 17
[2026-09-24 23:47:20] evo_logo_L5_s4_k3    893s  best 3733/4096  current 3733  restarts 1  iters 3263350  (3654/s)  best gates cx 23 tof 17
[2026-09-24 23:47:35] evo_logo_L5_s4_k3    908s  best 3733/4096  current 3733  restarts 1  iters 3318621  (3655/s)  best gates cx 23 tof 17
[2026-09-24 23:47:50] evo_logo_L5_s4_k3    923s  best 3733/4096  current 3733  restarts 1  iters 3373901  (3656/s)  best gates cx 23 tof 17
[2026-09-24 23:48:05] evo_logo_L5_s4_k3    938s  best 3771/4096  current 3771  restarts 1  iters 3430078  (3657/s)  best gates cx 26 tof 16
[2026-09-24 23:48:20] evo_logo_L5_s4_k3    953s  best 3771/4096  current 3771  restarts 1  iters 3485890  (3658/s)  best gates cx 26 tof 16
[2026-09-24 23:48:30] evo_logo_L5_s4_k3    963s  best 3771/4096  current 3771  restarts 1  iters 3523178  (3658/s)  best gates cx 26 tof 16
[2026-09-24 23:48:45] evo_logo_L5_s4_k3    978s  best 3771/4096  current 3771  restarts 1  iters 3578220  (3659/s)  best gates cx 26 tof 16
[2026-09-24 23:49:00] evo_logo_L5_s4_k3    993s  best 3771/4096  current 3771  restarts 1  iters 3634584  (3661/s)  best gates cx 26 tof 16
[2026-09-24 23:49:10] evo_logo_L5_s4_k3   1003s  best 3771/4096  current 3771  restarts 1  iters 3672258  (3661/s)  best gates cx 26 tof 16
