[ga_L5_s1_k3] init pop 24  fits [3539, 3515, 3487, 3483, 3473, 3469, 3465, 3449]  14s  (LOCAL 400)
[2026-09-24 23:32:41] ga_L5_s1_k3     14s  best 3539/4096  median 3443  worst 3397  children 1  replaced 0
[2026-09-24 23:32:51] ga_L5_s1_k3     24s  best 3539/4096  median 3515  worst 3515  children 77  replaced 32
[2026-09-24 23:33:01] ga_L5_s1_k3     35s  best 3557/4096  median 3539  worst 3539  children 153  replaced 58
[2026-09-24 23:33:11] ga_L5_s1_k3     45s  best 3585/4096  median 3557  worst 3557  children 213  replaced 81
[2026-09-24 23:33:21] ga_L5_s1_k3     55s  best 3589/4096  median 3585  worst 3585  children 284  replaced 103
[2026-09-24 23:33:31] ga_L5_s1_k3     65s  best 3633/4096  median 3621  worst 3621  children 364  replaced 134
[2026-09-24 23:33:41] ga_L5_s1_k3     75s  best 3633/4096  median 3633  worst 3633  children 432  replaced 155
[2026-09-24 23:33:51] ga_L5_s1_k3     85s  best 3633/4096  median 3633  worst 3633  children 489  replaced 155
[2026-09-24 23:34:01] ga_L5_s1_k3     95s  best 3633/4096  median 3633  worst 3633  children 548  replaced 155
[2026-09-24 23:34:12] ga_L5_s1_k3    106s  best 3633/4096  median 3633  worst 3633  children 615  replaced 155
[2026-09-24 23:34:22] ga_L5_s1_k3    116s  best 3633/4096  median 3633  worst 3633  children 680  replaced 155
[2026-09-24 23:34:32] ga_L5_s1_k3    126s  best 3633/4096  median 3633  worst 3633  children 744  replaced 155
[2026-09-24 23:34:42] ga_L5_s1_k3    136s  best 3633/4096  median 3633  worst 3633  children 812  replaced 155
[2026-09-24 23:34:52] ga_L5_s1_k3    146s  best 3633/4096  median 3633  worst 3633  children 879  replaced 155
[2026-09-24 23:35:02] ga_L5_s1_k3    156s  best 3633/4096  median 3633  worst 3633  children 951  replaced 155
[2026-09-24 23:35:12] ga_L5_s1_k3    166s  best 3633/4096  median 3633  worst 3633  children 1017  replaced 155
