[evo_logo_L7_s1] start fitness 3269 / 4096  restart after 90s without gain
[2026-09-24 20:44:35] evo_logo_L7_s1     11s  best 3771/4096  current 3771  restarts 0  iters 321973  (29018/s)  best gates cx 36 tof 21
[2026-09-24 20:44:50] evo_logo_L7_s1     26s  best 3791/4096  current 3791  restarts 0  iters 786413  (30291/s)  best gates cx 34 tof 22
[2026-09-24 20:45:05] evo_logo_L7_s1     41s  best 3801/4096  current 3801  restarts 0  iters 1275901  (31363/s)  best gates cx 38 tof 25
[2026-09-24 20:45:15] evo_logo_L7_s1     51s  best 3801/4096  current 3801  restarts 0  iters 1605261  (31452/s)  best gates cx 38 tof 25
[2026-09-24 20:45:30] evo_logo_L7_s1     66s  best 3801/4096  current 3801  restarts 0  iters 2096461  (31893/s)  best gates cx 38 tof 25
[2026-09-24 20:45:45] evo_logo_L7_s1     81s  best 3801/4096  current 3801  restarts 0  iters 2583672  (31995/s)  best gates cx 38 tof 25
[2026-09-24 20:45:55] evo_logo_L7_s1     91s  best 3801/4096  current 3801  restarts 0  iters 2914362  (32112/s)  best gates cx 38 tof 25
[2026-09-24 20:46:10] evo_logo_L7_s1    106s  best 3801/4096  current 3801  restarts 0  iters 3412173  (32313/s)  best gates cx 38 tof 25
[2026-09-24 20:46:25] evo_logo_L7_s1    121s  best 3807/4096  current 3807  restarts 0  iters 3919133  (32516/s)  best gates cx 42 tof 27
[2026-09-24 20:46:40] evo_logo_L7_s1    135s  best 3807/4096  current 3807  restarts 0  iters 4438553  (32778/s)  best gates cx 42 tof 27
[2026-09-24 20:46:55] evo_logo_L7_s1    151s  best 3807/4096  current 3807  restarts 0  iters 4964399  (32980/s)  best gates cx 42 tof 27
[2026-09-24 20:47:10] evo_logo_L7_s1    165s  best 3807/4096  current 3807  restarts 0  iters 5478659  (33123/s)  best gates cx 42 tof 27
[2026-09-24 20:47:20] evo_logo_L7_s1    176s  best 3807/4096  current 3807  restarts 0  iters 5817309  (33103/s)  best gates cx 42 tof 27
[2026-09-24 20:47:35] evo_logo_L7_s1    191s  best 3807/4096  current 3807  restarts 0  iters 6314512  (33132/s)  best gates cx 42 tof 27
[2026-09-24 20:47:45] evo_logo_L7_s1    201s  best 3807/4096  current 3807  restarts 0  iters 6656525  (33158/s)  best gates cx 42 tof 27
[2026-09-24 20:47:56] evo_logo_L7_s1    211s  best 3807/4096  current 3607  restarts 1  iters 6985650  (33040/s)  best gates cx 42 tof 27
[2026-09-24 20:48:10] evo_logo_L7_s1    226s  best 3807/4096  current 3763  restarts 1  iters 7439480  (32900/s)  best gates cx 42 tof 27
[2026-09-24 20:48:25] evo_logo_L7_s1    241s  best 3821/4096  current 3821  restarts 1  iters 7910107  (32818/s)  best gates cx 39 tof 26
[2026-09-24 20:48:40] evo_logo_L7_s1    256s  best 3837/4096  current 3837  restarts 1  iters 8396555  (32841/s)  best gates cx 39 tof 25
[2026-09-24 20:48:50] evo_logo_L7_s1    266s  best 3837/4096  current 3837  restarts 1  iters 8738924  (32881/s)  best gates cx 39 tof 25
[2026-09-24 20:49:05] evo_logo_L7_s1    281s  best 3837/4096  current 3837  restarts 1  iters 9248018  (32948/s)  best gates cx 39 tof 25
[2026-09-24 20:49:15] evo_logo_L7_s1    291s  best 3837/4096  current 3837  restarts 1  iters 9582988  (32937/s)  best gates cx 39 tof 25
[2026-09-24 20:49:26] evo_logo_L7_s1    301s  best 3837/4096  current 3837  restarts 1  iters 9902897  (32854/s)  best gates cx 39 tof 25
[2026-09-24 20:49:40] evo_logo_L7_s1    316s  best 3837/4096  current 3837  restarts 1  iters 10385467  (32878/s)  best gates cx 39 tof 25
[2026-09-24 20:49:50] evo_logo_L7_s1    326s  best 3837/4096  current 3837  restarts 1  iters 10716476  (32850/s)  best gates cx 39 tof 25
[2026-09-24 20:50:05] evo_logo_L7_s1    341s  best 3837/4096  current 3655  restarts 2  iters 11198795  (32820/s)  best gates cx 39 tof 25
[2026-09-24 20:50:16] evo_logo_L7_s1    352s  best 3837/4096  current 3655  restarts 2  iters 11507979  (32738/s)  best gates cx 39 tof 25
[2026-09-24 20:50:30] evo_logo_L7_s1    366s  best 3837/4096  current 3777  restarts 2  iters 11965678  (32676/s)  best gates cx 39 tof 25
[2026-09-24 20:50:45] evo_logo_L7_s1    381s  best 3837/4096  current 3777  restarts 2  iters 12445587  (32681/s)  best gates cx 39 tof 25
[2026-09-24 20:50:55] evo_logo_L7_s1    391s  best 3837/4096  current 3777  restarts 2  iters 12778097  (32674/s)  best gates cx 39 tof 25
[2026-09-24 20:51:05] evo_logo_L7_s1    401s  best 3837/4096  current 3777  restarts 2  iters 13105469  (32673/s)  best gates cx 39 tof 25
[2026-09-24 20:51:16] evo_logo_L7_s1    411s  best 3837/4096  current 3777  restarts 2  iters 13422615  (32634/s)  best gates cx 39 tof 25
[2026-09-24 20:51:26] evo_logo_L7_s1    422s  best 3837/4096  current 3777  restarts 2  iters 13723041  (32546/s)  best gates cx 39 tof 25
[2026-09-24 20:51:36] evo_logo_L7_s1    432s  best 3837/4096  current 3777  restarts 2  iters 14009868  (32443/s)  best gates cx 39 tof 25
[2026-09-24 20:51:51] evo_logo_L7_s1    446s  best 3837/4096  current 3777  restarts 2  iters 14447005  (32361/s)  best gates cx 39 tof 25
[2026-09-24 20:52:01] evo_logo_L7_s1    457s  best 3837/4096  current 3669  restarts 3  iters 14743990  (32267/s)  best gates cx 39 tof 25
[2026-09-24 20:52:15] evo_logo_L7_s1    471s  best 3837/4096  current 3751  restarts 3  iters 15196800  (32245/s)  best gates cx 39 tof 25
[2026-09-24 20:52:30] evo_logo_L7_s1    486s  best 3837/4096  current 3759  restarts 3  iters 15675695  (32256/s)  best gates cx 39 tof 25
[2026-09-24 20:52:40] evo_logo_L7_s1    496s  best 3837/4096  current 3759  restarts 3  iters 16008932  (32267/s)  best gates cx 39 tof 25
[2026-09-24 20:52:50] evo_logo_L7_s1    506s  best 3837/4096  current 3759  restarts 3  iters 16339098  (32282/s)  best gates cx 39 tof 25
[2026-09-24 20:53:05] evo_logo_L7_s1    521s  best 3837/4096  current 3759  restarts 3  iters 16832270  (32294/s)  best gates cx 39 tof 25
[2026-09-24 20:53:20] evo_logo_L7_s1    536s  best 3837/4096  current 3759  restarts 3  iters 17324615  (32315/s)  best gates cx 39 tof 25
[2026-09-24 20:53:30] evo_logo_L7_s1    546s  best 3837/4096  current 3759  restarts 3  iters 17654282  (32326/s)  best gates cx 39 tof 25
[2026-09-24 20:53:40] evo_logo_L7_s1    556s  best 3837/4096  current 3759  restarts 3  iters 17978910  (32320/s)  best gates cx 39 tof 25
[2026-09-24 20:53:55] evo_logo_L7_s1    571s  best 3837/4096  current 3759  restarts 3  iters 18470155  (32342/s)  best gates cx 39 tof 25
[2026-09-24 20:54:06] evo_logo_L7_s1    582s  best 3837/4096  current 3725  restarts 4  iters 18772528  (32254/s)  best gates cx 39 tof 25
[2026-09-24 20:54:21] evo_logo_L7_s1    597s  best 3837/4096  current 3735  restarts 4  iters 19216013  (32199/s)  best gates cx 39 tof 25
[2026-09-24 20:54:35] evo_logo_L7_s1    611s  best 3837/4096  current 3781  restarts 4  iters 19678720  (32196/s)  best gates cx 39 tof 25
[2026-09-24 20:54:46] evo_logo_L7_s1    621s  best 3837/4096  current 3787  restarts 4  iters 20012463  (32210/s)  best gates cx 39 tof 25
[2026-09-24 20:55:00] evo_logo_L7_s1    636s  best 3837/4096  current 3789  restarts 4  iters 20516747  (32245/s)  best gates cx 39 tof 25
[2026-09-24 20:55:15] evo_logo_L7_s1    651s  best 3837/4096  current 3789  restarts 4  iters 21017646  (32276/s)  best gates cx 39 tof 25
[2026-09-24 20:55:25] evo_logo_L7_s1    661s  best 3837/4096  current 3789  restarts 4  iters 21358061  (32300/s)  best gates cx 39 tof 25
[2026-09-24 20:55:36] evo_logo_L7_s1    671s  best 3837/4096  current 3789  restarts 4  iters 21688577  (32303/s)  best gates cx 39 tof 25
[2026-09-24 20:55:51] evo_logo_L7_s1    686s  best 3837/4096  current 3789  restarts 4  iters 22185242  (32325/s)  best gates cx 39 tof 25
[2026-09-24 20:56:01] evo_logo_L7_s1    696s  best 3837/4096  current 3789  restarts 4  iters 22515731  (32332/s)  best gates cx 39 tof 25
[2026-09-24 20:56:15] evo_logo_L7_s1    711s  best 3837/4096  current 3791  restarts 4  iters 23009609  (32355/s)  best gates cx 39 tof 25
[2026-09-24 20:56:25] evo_logo_L7_s1    721s  best 3837/4096  current 3791  restarts 4  iters 23349286  (32377/s)  best gates cx 39 tof 25
[2026-09-24 20:56:40] evo_logo_L7_s1    736s  best 3837/4096  current 3791  restarts 4  iters 23866686  (32422/s)  best gates cx 39 tof 25
[2026-09-24 20:56:50] evo_logo_L7_s1    746s  best 3837/4096  current 3791  restarts 4  iters 24209871  (32444/s)  best gates cx 39 tof 25
[2026-09-24 20:57:00] evo_logo_L7_s1    756s  best 3837/4096  current 3791  restarts 4  iters 24552842  (32465/s)  best gates cx 39 tof 25
[2026-09-24 20:57:15] evo_logo_L7_s1    771s  best 3837/4096  current 3791  restarts 4  iters 25061621  (32493/s)  best gates cx 39 tof 25
[2026-09-24 20:57:26] evo_logo_L7_s1    781s  best 3837/4096  current 3791  restarts 4  iters 25389659  (32493/s)  best gates cx 39 tof 25
[2026-09-24 20:57:40] evo_logo_L7_s1    796s  best 3837/4096  current 3791  restarts 4  iters 25896368  (32527/s)  best gates cx 39 tof 25
[2026-09-24 20:57:52] evo_logo_L7_s1    808s  best 3837/4096  current 3641  restarts 5  iters 26238372  (32484/s)  best gates cx 39 tof 25
[2026-09-24 20:58:06] evo_logo_L7_s1    822s  best 3837/4096  current 3769  restarts 5  iters 26672576  (32464/s)  best gates cx 39 tof 25
[2026-09-24 20:58:21] evo_logo_L7_s1    837s  best 3837/4096  current 3781  restarts 5  iters 27172951  (32465/s)  best gates cx 39 tof 25
[2026-09-24 20:58:36] evo_logo_L7_s1    851s  best 3837/4096  current 3829  restarts 5  iters 27673142  (32504/s)  best gates cx 39 tof 25
[2026-09-24 20:58:50] evo_logo_L7_s1    866s  best 3837/4096  current 3829  restarts 5  iters 28200531  (32556/s)  best gates cx 39 tof 25
[2026-09-24 20:59:00] evo_logo_L7_s1    876s  best 3837/4096  current 3829  restarts 5  iters 28554021  (32586/s)  best gates cx 39 tof 25
[2026-09-24 20:59:16] evo_logo_L7_s1    891s  best 3837/4096  current 3829  restarts 5  iters 29093236  (32638/s)  best gates cx 39 tof 25
[2026-09-24 20:59:31] evo_logo_L7_s1    906s  best 3837/4096  current 3835  restarts 5  iters 29614909  (32673/s)  best gates cx 39 tof 25
[2026-09-24 20:59:41] evo_logo_L7_s1    917s  best 3837/4096  current 3837  restarts 5  iters 29971073  (32700/s)  best gates cx 39 tof 25
[2026-09-24 20:59:51] evo_logo_L7_s1    927s  best 3837/4096  current 3837  restarts 5  iters 30315712  (32711/s)  best gates cx 39 tof 25
[2026-09-24 21:00:05] evo_logo_L7_s1    941s  best 3837/4096  current 3837  restarts 5  iters 30833657  (32759/s)  best gates cx 39 tof 25
[2026-09-24 21:00:16] evo_logo_L7_s1    952s  best 3837/4096  current 3837  restarts 5  iters 31189535  (32768/s)  best gates cx 39 tof 25
[2026-09-24 21:00:31] evo_logo_L7_s1    966s  best 3837/4096  current 3837  restarts 5  iters 31686993  (32789/s)  best gates cx 39 tof 25
[2026-09-24 21:00:41] evo_logo_L7_s1    977s  best 3837/4096  current 3837  restarts 5  iters 32046221  (32817/s)  best gates cx 39 tof 25
[2026-09-24 21:00:51] evo_logo_L7_s1    987s  best 3837/4096  current 3837  restarts 5  iters 32399743  (32841/s)  best gates cx 39 tof 25
[2026-09-24 21:01:01] evo_logo_L7_s1    997s  best 3837/4096  current 3837  restarts 5  iters 32748651  (32850/s)  best gates cx 39 tof 25
[2026-09-24 21:01:16] evo_logo_L7_s1   1012s  best 3837/4096  current 3583  restarts 6  iters 33252918  (32852/s)  best gates cx 39 tof 25
[2026-09-24 21:01:31] evo_logo_L7_s1   1026s  best 3837/4096  current 3615  restarts 6  iters 33764669  (32897/s)  best gates cx 39 tof 25
[2026-09-24 21:01:41] evo_logo_L7_s1   1036s  best 3837/4096  current 3623  restarts 6  iters 34123166  (32924/s)  best gates cx 39 tof 25
[2026-09-24 21:01:51] evo_logo_L7_s1   1047s  best 3837/4096  current 3633  restarts 6  iters 34485027  (32949/s)  best gates cx 39 tof 25
[2026-09-24 21:02:06] evo_logo_L7_s1   1061s  best 3837/4096  current 3645  restarts 6  iters 35013103  (32987/s)  best gates cx 39 tof 25
[2026-09-24 21:02:21] evo_logo_L7_s1   1077s  best 3837/4096  current 3653  restarts 6  iters 35569800  (33039/s)  best gates cx 39 tof 25
[2026-09-24 21:02:36] evo_logo_L7_s1   1091s  best 3837/4096  current 3685  restarts 6  iters 36108095  (33083/s)  best gates cx 39 tof 25
[2026-09-24 21:02:46] evo_logo_L7_s1   1102s  best 3837/4096  current 3691  restarts 6  iters 36476070  (33114/s)  best gates cx 39 tof 25
[2026-09-24 21:03:01] evo_logo_L7_s1   1116s  best 3837/4096  current 3715  restarts 6  iters 37017149  (33159/s)  best gates cx 39 tof 25
[2026-09-24 21:03:15] evo_logo_L7_s1   1131s  best 3837/4096  current 3723  restarts 6  iters 37588458  (33227/s)  best gates cx 39 tof 25
[2026-09-24 21:03:26] evo_logo_L7_s1   1141s  best 3837/4096  current 3723  restarts 6  iters 37967720  (33267/s)  best gates cx 39 tof 25
[2026-09-24 21:03:36] evo_logo_L7_s1   1151s  best 3837/4096  current 3723  restarts 6  iters 38348425  (33308/s)  best gates cx 39 tof 25
[2026-09-24 21:03:51] evo_logo_L7_s1   1166s  best 3837/4096  current 3731  restarts 6  iters 38918196  (33367/s)  best gates cx 39 tof 25
[2026-09-24 21:04:05] evo_logo_L7_s1   1181s  best 3837/4096  current 3731  restarts 6  iters 39489309  (33429/s)  best gates cx 39 tof 25
[2026-09-24 21:04:16] evo_logo_L7_s1   1191s  best 3837/4096  current 3731  restarts 6  iters 39879015  (33472/s)  best gates cx 39 tof 25
[2026-09-24 21:04:25] evo_logo_L7_s1   1201s  best 3837/4096  current 3731  restarts 6  iters 40251457  (33509/s)  best gates cx 39 tof 25
[evo_logo_L7_s1] final best 3837 / 4096  readout (5, 9, 1, 1)  restarts 6
