[evo_logo_L5_s1] start fitness 3269 / 4096
[2026-09-24 20:12:38] evo_logo_L5_s1     12s  fit 3771/4096  iters 847548  (68249/s)  gates cx 21 tof 21
[2026-09-24 20:12:52] evo_logo_L5_s1     27s  fit 3797/4096  iters 2034198  (75464/s)  gates cx 29 tof 21
[2026-09-24 20:13:02] evo_logo_L5_s1     37s  fit 3797/4096  iters 2822303  (76187/s)  gates cx 26 tof 23
[2026-09-24 20:13:13] evo_logo_L5_s1     47s  fit 3797/4096  iters 3551727  (75144/s)  gates cx 27 tof 22
[2026-09-24 20:13:23] evo_logo_L5_s1     57s  fit 3797/4096  iters 4303449  (74849/s)  gates cx 27 tof 23
[2026-09-24 20:13:38] evo_logo_L5_s1     72s  fit 3797/4096  iters 5465126  (75657/s)  gates cx 25 tof 20
[2026-09-24 20:13:48] evo_logo_L5_s1     82s  fit 3797/4096  iters 6234538  (75723/s)  gates cx 27 tof 20
[2026-09-24 20:13:58] evo_logo_L5_s1     93s  fit 3797/4096  iters 7021434  (75895/s)  gates cx 26 tof 20
[2026-09-24 20:14:08] evo_logo_L5_s1    103s  fit 3797/4096  iters 7770207  (75759/s)  gates cx 25 tof 21
[2026-09-24 20:14:23] evo_logo_L5_s1    117s  fit 3797/4096  iters 8884247  (75656/s)  gates cx 22 tof 21
[2026-09-24 20:14:38] evo_logo_L5_s1    132s  fit 3797/4096  iters 10073604  (76241/s)  gates cx 25 tof 22
[2026-09-24 20:14:52] evo_logo_L5_s1    147s  fit 3797/4096  iters 11246351  (76593/s)  gates cx 26 tof 21
[2026-09-24 20:15:03] evo_logo_L5_s1    158s  fit 3797/4096  iters 12120682  (76711/s)  gates cx 25 tof 20
[2026-09-24 20:15:13] evo_logo_L5_s1    168s  fit 3797/4096  iters 12881993  (76636/s)  gates cx 28 tof 22
[2026-09-24 20:15:27] evo_logo_L5_s1    182s  fit 3837/4096  iters 13985567  (76843/s)  gates cx 25 tof 21
[2026-09-24 20:15:38] evo_logo_L5_s1    193s  fit 3843/4096  iters 14827344  (77017/s)  gates cx 26 tof 22
[2026-09-24 20:15:53] evo_logo_L5_s1    207s  fit 3859/4096  iters 16034117  (77334/s)  gates cx 28 tof 22
[2026-09-24 20:16:03] evo_logo_L5_s1    217s  fit 3859/4096  iters 16887795  (77655/s)  gates cx 29 tof 24
[2026-09-24 20:16:18] evo_logo_L5_s1    232s  fit 3859/4096  iters 18170274  (78157/s)  gates cx 30 tof 23
[2026-09-24 20:16:33] evo_logo_L5_s1    248s  fit 3859/4096  iters 19433830  (78489/s)  gates cx 30 tof 23
[2026-09-24 20:16:48] evo_logo_L5_s1    262s  fit 3859/4096  iters 20709742  (78959/s)  gates cx 33 tof 24
[2026-09-24 20:16:58] evo_logo_L5_s1    272s  fit 3859/4096  iters 21602726  (79309/s)  gates cx 28 tof 23
[2026-09-24 20:17:08] evo_logo_L5_s1    282s  fit 3859/4096  iters 22458647  (79513/s)  gates cx 28 tof 24
[2026-09-24 20:17:23] evo_logo_L5_s1    297s  fit 3859/4096  iters 23746696  (79867/s)  gates cx 30 tof 23
[2026-09-24 20:17:33] evo_logo_L5_s1    308s  fit 3859/4096  iters 24611103  (80024/s)  gates cx 28 tof 22
[2026-09-24 20:17:48] evo_logo_L5_s1    323s  fit 3859/4096  iters 25873175  (80210/s)  gates cx 29 tof 23
[2026-09-24 20:18:03] evo_logo_L5_s1    338s  fit 3859/4096  iters 27175301  (80517/s)  gates cx 31 tof 23
[2026-09-24 20:18:13] evo_logo_L5_s1    348s  fit 3859/4096  iters 27981972  (80458/s)  gates cx 28 tof 23
[2026-09-24 20:18:28] evo_logo_L5_s1    363s  fit 3859/4096  iters 29275240  (80709/s)  gates cx 30 tof 24
[2026-09-24 20:18:38] evo_logo_L5_s1    373s  fit 3859/4096  iters 30090926  (80690/s)  gates cx 29 tof 21
[2026-09-24 20:18:53] evo_logo_L5_s1    388s  fit 3859/4096  iters 31430892  (81005/s)  gates cx 25 tof 23
[2026-09-24 20:19:03] evo_logo_L5_s1    398s  fit 3859/4096  iters 32317081  (81177/s)  gates cx 28 tof 24
[2026-09-24 20:19:18] evo_logo_L5_s1    412s  fit 3859/4096  iters 33575034  (81395/s)  gates cx 31 tof 23
[2026-09-24 20:19:28] evo_logo_L5_s1    423s  fit 3859/4096  iters 34453020  (81435/s)  gates cx 31 tof 22
[2026-09-24 20:19:43] evo_logo_L5_s1    438s  fit 3859/4096  iters 35759066  (81665/s)  gates cx 31 tof 23
[2026-09-24 20:19:54] evo_logo_L5_s1    448s  fit 3859/4096  iters 36617560  (81674/s)  gates cx 29 tof 23
[2026-09-24 20:20:08] evo_logo_L5_s1    463s  fit 3859/4096  iters 37933952  (81951/s)  gates cx 31 tof 22
[2026-09-24 20:20:19] evo_logo_L5_s1    474s  fit 3859/4096  iters 38829467  (81961/s)  gates cx 27 tof 24
[2026-09-24 20:20:33] evo_logo_L5_s1    488s  fit 3859/4096  iters 40067368  (82096/s)  gates cx 28 tof 24
[2026-09-24 20:20:44] evo_logo_L5_s1    498s  fit 3859/4096  iters 40935106  (82179/s)  gates cx 31 tof 22
[2026-09-24 20:20:54] evo_logo_L5_s1    508s  fit 3859/4096  iters 41783853  (82229/s)  gates cx 29 tof 23
[2026-09-24 20:21:09] evo_logo_L5_s1    523s  fit 3859/4096  iters 43126219  (82400/s)  gates cx 27 tof 25
[2026-09-24 20:21:24] evo_logo_L5_s1    538s  fit 3859/4096  iters 44434786  (82563/s)  gates cx 27 tof 24
[2026-09-24 20:21:38] evo_logo_L5_s1    553s  fit 3859/4096  iters 45770028  (82762/s)  gates cx 28 tof 24
[2026-09-24 20:21:49] evo_logo_L5_s1    563s  fit 3859/4096  iters 46630337  (82804/s)  gates cx 30 tof 22
[2026-09-24 20:21:59] evo_logo_L5_s1    573s  fit 3859/4096  iters 47518707  (82889/s)  gates cx 29 tof 23
[2026-09-24 20:22:09] evo_logo_L5_s1    583s  fit 3859/4096  iters 48364198  (82897/s)  gates cx 28 tof 24
[2026-09-24 20:22:24] evo_logo_L5_s1    599s  fit 3859/4096  iters 49659441  (82972/s)  gates cx 27 tof 23
[2026-09-24 20:22:29] evo_logo_L5_s1    603s  fit 3859/4096  iters 50083580  (83034/s)  gates cx 29 tof 23
[evo_logo_L5_s1] final fit 3859 / 4096  readout (11, 13, 0, 0)
