[sched_R6_L2_s21_r2] classes 110 products 115 readouts 1  R 6 LCX 2  start score 1106.3
   complete: score 41.28  model depth 44  classical mism 0 identity True  real depth/cx (59, 55)
   complete: score 34.29  model depth 44  classical mism 0 identity True  real depth/cx (59, 71)
   complete: score 32.28  model depth 44  classical mism 0 identity True  real depth/cx (61, 67)
   complete: score 32.25  model depth 46  classical mism 0 identity True  real depth/cx (55, 57)
[2026-09-25 04:01:21] sched_R6_L2_s21_r2    11s  best 32.25  fired 1/1 [12]  current 35.37  restarts 0  iters 496541  exact [55, 57]
   complete: score 32.24  model depth 42  classical mism 0 identity True  real depth/cx (57, 63)
[2026-09-25 04:01:31] sched_R6_L2_s21_r2    21s  best 32.24  fired 1/1 [12]  current 37.47  restarts 0  iters 950283  exact [55, 57]
[2026-09-25 04:01:41] sched_R6_L2_s21_r2    32s  best 32.24  fired 1/1 [12]  current 36.30  restarts 0  iters 1421328  exact [55, 57]
   complete: score 32.23  model depth 42  classical mism 0 identity True  real depth/cx (55, 57)
   complete: score 31.22  model depth 42  classical mism 0 identity True  real depth/cx (55, 53)
[2026-09-25 04:01:51] sched_R6_L2_s21_r2    42s  best 31.22  fired 1/1 [12]  current 36.36  restarts 0  iters 1878145  exact [55, 53]
[2026-09-25 04:02:06] sched_R6_L2_s21_r2    57s  best 31.22  fired 1/1 [12]  current 36.29  restarts 0  iters 2537483  exact [55, 53]
   complete: score 31.19  model depth 42  classical mism 0 identity True  real depth/cx (53, 63)
[2026-09-25 04:02:21] sched_R6_L2_s21_r2    71s  best 31.19  fired 1/1 [12]  current 34.30  restarts 0  iters 3215018  exact [53, 63]
[2026-09-25 04:02:31] sched_R6_L2_s21_r2    82s  best 31.19  fired 1/1 [12]  current 37.36  restarts 0  iters 3674592  exact [53, 63]
[2026-09-25 04:02:46] sched_R6_L2_s21_r2    97s  best 31.19  fired 1/1 [12]  current 33.33  restarts 0  iters 4347222  exact [53, 63]
[2026-09-25 04:03:01] sched_R6_L2_s21_r2   111s  best 31.19  fired 1/1 [12]  current 35.37  restarts 0  iters 5070500  exact [53, 63]
[2026-09-25 04:03:11] sched_R6_L2_s21_r2   122s  best 31.19  fired 1/1 [12]  current 35.31  restarts 0  iters 5538159  exact [53, 63]
[2026-09-25 04:03:22] sched_R6_L2_s21_r2   132s  best 31.19  fired 1/1 [12]  current 35.36  restarts 0  iters 5966052  exact [53, 63]
[2026-09-25 04:03:36] sched_R6_L2_s21_r2   147s  best 31.19  fired 1/1 [12]  current 36.37  restarts 0  iters 6594266  exact [53, 63]
[2026-09-25 04:03:51] sched_R6_L2_s21_r2   162s  best 31.19  fired 1/1 [12]  current 35.32  restarts 0  iters 7289804  exact [53, 63]
[2026-09-25 04:04:01] sched_R6_L2_s21_r2   172s  best 31.19  fired 1/1 [12]  current 37.34  restarts 0  iters 7744188  exact [53, 63]
[2026-09-25 04:04:16] sched_R6_L2_s21_r2   187s  best 31.19  fired 1/1 [12]  current 39.45  restarts 0  iters 8411351  exact [53, 63]
[2026-09-25 04:04:28] sched_R6_L2_s21_r2   199s  best 31.19  fired 1/1 [12]  current 37.35  restarts 1  iters 8859278  exact [53, 63]
[2026-09-25 04:04:42] sched_R6_L2_s21_r2   212s  best 31.19  fired 1/1 [12]  current 35.30  restarts 1  iters 9469551  exact [53, 63]
[2026-09-25 04:04:52] sched_R6_L2_s21_r2   222s  best 31.19  fired 1/1 [12]  current 36.39  restarts 1  iters 9932848  exact [53, 63]
[2026-09-25 04:05:02] sched_R6_L2_s21_r2   232s  best 31.19  fired 1/1 [12]  current 38.43  restarts 1  iters 10381885  exact [53, 63]
[2026-09-25 04:05:12] sched_R6_L2_s21_r2   243s  best 31.19  fired 1/1 [12]  current 35.29  restarts 1  iters 10821168  exact [53, 63]
[2026-09-25 04:05:27] sched_R6_L2_s21_r2   257s  best 31.19  fired 1/1 [12]  current 36.33  restarts 1  iters 11496851  exact [53, 63]
[2026-09-25 04:05:42] sched_R6_L2_s21_r2   272s  best 31.19  fired 1/1 [12]  current 35.32  restarts 1  iters 12178531  exact [53, 63]
[2026-09-25 04:05:57] sched_R6_L2_s21_r2   288s  best 31.19  fired 1/1 [12]  current 36.40  restarts 1  iters 12851124  exact [53, 63]
[2026-09-25 04:06:12] sched_R6_L2_s21_r2   302s  best 31.19  fired 1/1 [12]  current 36.34  restarts 1  iters 13519711  exact [53, 63]
[2026-09-25 04:06:28] sched_R6_L2_s21_r2   318s  best 31.19  fired 1/1 [12]  current 35.36  restarts 2  iters 14211959  exact [53, 63]
[2026-09-25 04:06:42] sched_R6_L2_s21_r2   333s  best 31.19  fired 1/1 [12]  current 37.47  restarts 2  iters 14863560  exact [53, 63]
[2026-09-25 04:06:57] sched_R6_L2_s21_r2   347s  best 31.19  fired 1/1 [12]  current 35.29  restarts 2  iters 15555235  exact [53, 63]
[2026-09-25 04:07:07] sched_R6_L2_s21_r2   358s  best 31.19  fired 1/1 [12]  current 36.40  restarts 2  iters 16025156  exact [53, 63]
[2026-09-25 04:07:22] sched_R6_L2_s21_r2   373s  best 31.19  fired 1/1 [12]  current 37.40  restarts 2  iters 16715946  exact [53, 63]
[2026-09-25 04:07:37] sched_R6_L2_s21_r2   388s  best 31.19  fired 1/1 [12]  current 35.37  restarts 2  iters 17397054  exact [53, 63]
[2026-09-25 04:07:52] sched_R6_L2_s21_r2   403s  best 31.19  fired 1/1 [12]  current 36.35  restarts 2  iters 18097833  exact [53, 63]
[2026-09-25 04:08:07] sched_R6_L2_s21_r2   418s  best 31.19  fired 1/1 [12]  current 34.34  restarts 2  iters 18806918  exact [53, 63]
[2026-09-25 04:08:22] sched_R6_L2_s21_r2   433s  best 31.19  fired 1/1 [12]  current 37.40  restarts 2  iters 19505342  exact [53, 63]
[2026-09-25 04:08:34] sched_R6_L2_s21_r2   445s  best 31.19  fired 1/1 [12]  current 37.48  restarts 3  iters 19895590  exact [53, 63]
[2026-09-25 04:08:44] sched_R6_L2_s21_r2   455s  best 31.19  fired 1/1 [12]  current 37.42  restarts 3  iters 20214723  exact [53, 63]
[2026-09-25 04:08:59] sched_R6_L2_s21_r2   470s  best 31.19  fired 1/1 [12]  current 38.44  restarts 3  iters 20719418  exact [53, 63]
[2026-09-25 04:09:09] sched_R6_L2_s21_r2   480s  best 31.19  fired 1/1 [12]  current 35.30  restarts 3  iters 21050018  exact [53, 63]
[2026-09-25 04:09:24] sched_R6_L2_s21_r2   495s  best 31.19  fired 1/1 [12]  current 35.45  restarts 3  iters 21535092  exact [53, 63]
[2026-09-25 04:09:34] sched_R6_L2_s21_r2   505s  best 31.19  fired 1/1 [12]  current 38.36  restarts 3  iters 21853683  exact [53, 63]
[2026-09-25 04:09:49] sched_R6_L2_s21_r2   520s  best 31.19  fired 1/1 [12]  current 37.39  restarts 3  iters 22360362  exact [53, 63]
[2026-09-25 04:09:59] sched_R6_L2_s21_r2   530s  best 31.19  fired 1/1 [12]  current 36.36  restarts 3  iters 22710376  exact [53, 63]
[2026-09-25 04:10:14] sched_R6_L2_s21_r2   545s  best 31.19  fired 1/1 [12]  current 35.42  restarts 3  iters 23199501  exact [53, 63]
[2026-09-25 04:10:24] sched_R6_L2_s21_r2   555s  best 31.19  fired 1/1 [12]  current 38.46  restarts 3  iters 23529504  exact [53, 63]
[2026-09-25 04:10:35] sched_R6_L2_s21_r2   565s  best 31.19  fired 1/1 [12]  current 37.50  restarts 4  iters 23833407  exact [53, 63]
[2026-09-25 04:10:50] sched_R6_L2_s21_r2   580s  best 31.19  fired 1/1 [12]  current 38.47  restarts 4  iters 24327154  exact [53, 63]
[2026-09-25 04:11:00] sched_R6_L2_s21_r2   590s  best 31.19  fired 1/1 [12]  current 36.44  restarts 4  iters 24648548  exact [53, 63]
[2026-09-25 04:11:10] sched_R6_L2_s21_r2   600s  best 31.19  fired 1/1 [12]  current 36.48  restarts 4  iters 24970382  exact [53, 63]
[2026-09-25 04:11:25] sched_R6_L2_s21_r2   615s  best 31.19  fired 1/1 [12]  current 37.48  restarts 4  iters 25453220  exact [53, 63]
[2026-09-25 04:11:40] sched_R6_L2_s21_r2   630s  best 31.19  fired 1/1 [12]  current 37.44  restarts 4  iters 25922995  exact [53, 63]
[2026-09-25 04:11:55] sched_R6_L2_s21_r2   645s  best 31.19  fired 1/1 [12]  current 37.43  restarts 4  iters 26415082  exact [53, 63]
[2026-09-25 04:12:10] sched_R6_L2_s21_r2   660s  best 31.19  fired 1/1 [12]  current 38.40  restarts 4  iters 26896777  exact [53, 63]
[2026-09-25 04:12:25] sched_R6_L2_s21_r2   675s  best 31.19  fired 1/1 [12]  current 38.47  restarts 4  iters 27378856  exact [53, 63]
[2026-09-25 04:12:38] sched_R6_L2_s21_r2   689s  best 31.19  fired 1/1 [12]  current 34.27  restarts 5  iters 27928216  exact [53, 63]
[2026-09-25 04:12:53] sched_R6_L2_s21_r2   704s  best 31.19  fired 1/1 [12]  current 35.33  restarts 5  iters 28586925  exact [53, 63]
[2026-09-25 04:13:03] sched_R6_L2_s21_r2   714s  best 31.19  fired 1/1 [12]  current 35.35  restarts 5  iters 29050556  exact [53, 63]
[2026-09-25 04:13:13] sched_R6_L2_s21_r2   724s  best 31.19  fired 1/1 [12]  current 37.45  restarts 5  iters 29493235  exact [53, 63]
[2026-09-25 04:13:28] sched_R6_L2_s21_r2   739s  best 31.19  fired 1/1 [12]  current 36.33  restarts 5  iters 30167151  exact [53, 63]
[2026-09-25 04:13:39] sched_R6_L2_s21_r2   749s  best 31.19  fired 1/1 [12]  current 38.39  restarts 5  iters 30600890  exact [53, 63]
