[span_L5_s21_c1_z1_T1] start fitness 2999 / 4096  (CZ layer 1, LCX 1, TEMP 1.00, MAXMUT 3, KICK 8 gates after 60s stuck)
[2026-09-25 04:53:21] span_L5_s21_c1_z1_T1     12s  best 3683/4096  current 3681  kicks 0  iters 422428 (36152/s)  best: cx 24 tof 18
[2026-09-25 04:53:31] span_L5_s21_c1_z1_T1     22s  best 3753/4096  current 3753  kicks 0  iters 796652 (36164/s)  best: cx 25 tof 16
[2026-09-25 04:53:46] span_L5_s21_c1_z1_T1     37s  best 3799/4096  current 3799  kicks 0  iters 1335366 (36305/s)  best: cx 27 tof 18
[2026-09-25 04:54:00] span_L5_s21_c1_z1_T1     52s  best 3813/4096  current 3807  kicks 0  iters 1903965 (36928/s)  best: cx 26 tof 18
[2026-09-25 04:54:16] span_L5_s21_c1_z1_T1     67s  best 3813/4096  current 3807  kicks 0  iters 2482967 (37246/s)  best: cx 26 tof 18
[2026-09-25 04:54:26] span_L5_s21_c1_z1_T1     77s  best 3813/4096  current 3807  kicks 0  iters 2859588 (37300/s)  best: cx 26 tof 18
[2026-09-25 04:54:36] span_L5_s21_c1_z1_T1     87s  best 3813/4096  current 3807  kicks 0  iters 3243135 (37268/s)  best: cx 26 tof 18
[2026-09-25 04:54:51] span_L5_s21_c1_z1_T1    102s  best 3813/4096  current 3811  kicks 0  iters 3801288 (37368/s)  best: cx 26 tof 18
[2026-09-25 04:55:01] span_L5_s21_c1_z1_T1    112s  best 3813/4096  current 3811  kicks 0  iters 4181970 (37426/s)  best: cx 26 tof 18
[2026-09-25 04:55:11] span_L5_s21_c1_z1_T1    122s  best 3813/4096  current 3733  kicks 1  iters 4547706 (37172/s)  best: cx 26 tof 18
[2026-09-25 04:55:26] span_L5_s21_c1_z1_T1    137s  best 3825/4096  current 3825  kicks 1  iters 5082307 (37140/s)  best: cx 24 tof 16
[2026-09-25 04:55:36] span_L5_s21_c1_z1_T1    148s  best 3829/4096  current 3825  kicks 1  iters 5460819 (37011/s)  best: cx 27 tof 17
[2026-09-25 04:55:47] span_L5_s21_c1_z1_T1    158s  best 3829/4096  current 3825  kicks 1  iters 5787708 (36694/s)  best: cx 27 tof 17
[2026-09-25 04:56:01] span_L5_s21_c1_z1_T1    172s  best 3829/4096  current 3825  kicks 1  iters 6275783 (36383/s)  best: cx 27 tof 17
[2026-09-25 04:56:11] span_L5_s21_c1_z1_T1    183s  best 3829/4096  current 3825  kicks 1  iters 6601502 (36160/s)  best: cx 27 tof 17
[2026-09-25 04:56:22] span_L5_s21_c1_z1_T1    193s  best 3841/4096  current 3841  kicks 1  iters 6924802 (35905/s)  best: cx 30 tof 19
[2026-09-25 04:56:32] span_L5_s21_c1_z1_T1    203s  best 3841/4096  current 3841  kicks 1  iters 7237569 (35654/s)  best: cx 30 tof 19
[2026-09-25 04:56:46] span_L5_s21_c1_z1_T1    217s  best 3841/4096  current 3841  kicks 1  iters 7722859 (35608/s)  best: cx 30 tof 19
[2026-09-25 04:56:56] span_L5_s21_c1_z1_T1    227s  best 3841/4096  current 3841  kicks 1  iters 8102085 (35689/s)  best: cx 30 tof 19
[2026-09-25 04:57:06] span_L5_s21_c1_z1_T1    237s  best 3841/4096  current 3841  kicks 1  iters 8462255 (35664/s)  best: cx 30 tof 19
[2026-09-25 04:57:21] span_L5_s21_c1_z1_T1    252s  best 3841/4096  current 3841  kicks 1  iters 9003852 (35749/s)  best: cx 30 tof 19
[2026-09-25 04:57:32] span_L5_s21_c1_z1_T1    263s  best 3841/4096  current 3679  kicks 2  iters 9376449 (35689/s)  best: cx 30 tof 19
[2026-09-25 04:57:42] span_L5_s21_c1_z1_T1    273s  best 3841/4096  current 3783  kicks 2  iters 9699680 (35534/s)  best: cx 30 tof 19
[2026-09-25 04:57:57] span_L5_s21_c1_z1_T1    288s  best 3841/4096  current 3807  kicks 2  iters 10182425 (35392/s)  best: cx 30 tof 19
[2026-09-25 04:58:07] span_L5_s21_c1_z1_T1    298s  best 3841/4096  current 3807  kicks 2  iters 10522664 (35330/s)  best: cx 30 tof 19
[2026-09-25 04:58:18] span_L5_s21_c1_z1_T1    309s  best 3843/4096  current 3843  kicks 2  iters 10824206 (35061/s)  best: cx 23 tof 19
[2026-09-25 04:58:33] span_L5_s21_c1_z1_T1    324s  best 3843/4096  current 3843  kicks 2  iters 11237768 (34688/s)  best: cx 23 tof 19
[2026-09-25 04:58:48] span_L5_s21_c1_z1_T1    339s  best 3847/4096  current 3843  kicks 2  iters 11635248 (34353/s)  best: cx 21 tof 17
[2026-09-25 04:59:03] span_L5_s21_c1_z1_T1    354s  best 3863/4096  current 3863  kicks 2  iters 12057292 (34063/s)  best: cx 29 tof 18
[2026-09-25 04:59:17] span_L5_s21_c1_z1_T1    368s  best 3879/4096  current 3879  kicks 2  iters 12463991 (33854/s)  best: cx 29 tof 20
[2026-09-25 04:59:32] span_L5_s21_c1_z1_T1    383s  best 3879/4096  current 3879  kicks 2  iters 12947082 (33796/s)  best: cx 29 tof 20
[2026-09-25 04:59:42] span_L5_s21_c1_z1_T1    393s  best 3879/4096  current 3879  kicks 2  iters 13269325 (33751/s)  best: cx 29 tof 20
[2026-09-25 04:59:52] span_L5_s21_c1_z1_T1    404s  best 3881/4096  current 3879  kicks 2  iters 13581872 (33655/s)  best: cx 26 tof 18
[2026-09-25 05:00:07] span_L5_s21_c1_z1_T1    418s  best 3881/4096  current 3879  kicks 2  iters 14028375 (33525/s)  best: cx 26 tof 18
[2026-09-25 05:00:22] span_L5_s21_c1_z1_T1    433s  best 3881/4096  current 3879  kicks 2  iters 14476997 (33406/s)  best: cx 26 tof 18
[2026-09-25 05:00:33] span_L5_s21_c1_z1_T1    444s  best 3881/4096  current 3879  kicks 2  iters 14777959 (33306/s)  best: cx 26 tof 18
[2026-09-25 05:00:47] span_L5_s21_c1_z1_T1    458s  best 3881/4096  current 3879  kicks 2  iters 15225182 (33221/s)  best: cx 26 tof 18
[2026-09-25 05:01:02] span_L5_s21_c1_z1_T1    473s  best 3881/4096  current 3793  kicks 3  iters 15695438 (33173/s)  best: cx 26 tof 18
[2026-09-25 05:01:16] span_L5_s21_c1_z1_T1    488s  best 3881/4096  current 3797  kicks 3  iters 16196022 (33216/s)  best: cx 26 tof 18
[2026-09-25 05:01:27] span_L5_s21_c1_z1_T1    498s  best 3881/4096  current 3797  kicks 3  iters 16554067 (33244/s)  best: cx 26 tof 18
[2026-09-25 05:01:37] span_L5_s21_c1_z1_T1    508s  best 3881/4096  current 3797  kicks 3  iters 16887993 (33214/s)  best: cx 26 tof 18
[2026-09-25 05:01:52] span_L5_s21_c1_z1_T1    523s  best 3881/4096  current 3797  kicks 3  iters 17352121 (33159/s)  best: cx 26 tof 18
[2026-09-25 05:02:07] span_L5_s21_c1_z1_T1    538s  best 3881/4096  current 3679  kicks 4  iters 17836545 (33156/s)  best: cx 26 tof 18
[2026-09-25 05:02:21] span_L5_s21_c1_z1_T1    553s  best 3881/4096  current 3725  kicks 4  iters 18378375 (33260/s)  best: cx 26 tof 18
[2026-09-25 05:02:32] span_L5_s21_c1_z1_T1    563s  best 3881/4096  current 3725  kicks 4  iters 18729015 (33264/s)  best: cx 26 tof 18
[2026-09-25 05:02:42] span_L5_s21_c1_z1_T1    573s  best 3881/4096  current 3725  kicks 4  iters 19076418 (33271/s)  best: cx 26 tof 18
[2026-09-25 05:02:52] span_L5_s21_c1_z1_T1    583s  best 3881/4096  current 3793  kicks 4  iters 19397589 (33247/s)  best: cx 26 tof 18
[2026-09-25 05:03:07] span_L5_s21_c1_z1_T1    598s  best 3881/4096  current 3673  kicks 5  iters 19883656 (33246/s)  best: cx 26 tof 18
[2026-09-25 05:03:22] span_L5_s21_c1_z1_T1    613s  best 3881/4096  current 3759  kicks 5  iters 20409814 (33303/s)  best: cx 26 tof 18
[2026-09-25 05:03:37] span_L5_s21_c1_z1_T1    628s  best 3881/4096  current 3771  kicks 5  iters 20959938 (33389/s)  best: cx 26 tof 18
[2026-09-25 05:03:52] span_L5_s21_c1_z1_T1    643s  best 3881/4096  current 3775  kicks 5  iters 21518464 (33472/s)  best: cx 26 tof 18
[2026-09-25 05:04:02] span_L5_s21_c1_z1_T1    653s  best 3881/4096  current 3775  kicks 5  iters 21875569 (33506/s)  best: cx 26 tof 18
[2026-09-25 05:04:12] span_L5_s21_c1_z1_T1    663s  best 3881/4096  current 3741  kicks 6  iters 22237487 (33541/s)  best: cx 26 tof 18
[2026-09-25 05:04:22] span_L5_s21_c1_z1_T1    673s  best 3881/4096  current 3741  kicks 6  iters 22591807 (33565/s)  best: cx 26 tof 18
[2026-09-25 05:04:32] span_L5_s21_c1_z1_T1    683s  best 3881/4096  current 3773  kicks 6  iters 22947433 (33573/s)  best: cx 26 tof 18
[2026-09-25 05:04:43] span_L5_s21_c1_z1_T1    694s  best 3881/4096  current 3773  kicks 6  iters 23271694 (33543/s)  best: cx 26 tof 18
[2026-09-25 05:04:58] span_L5_s21_c1_z1_T1    709s  best 3881/4096  current 3773  kicks 6  iters 23734482 (33491/s)  best: cx 26 tof 18
[2026-09-25 05:05:08] span_L5_s21_c1_z1_T1    719s  best 3881/4096  current 3677  kicks 7  iters 24039212 (33439/s)  best: cx 26 tof 18
[2026-09-25 05:05:22] span_L5_s21_c1_z1_T1    733s  best 3881/4096  current 3753  kicks 7  iters 24523701 (33446/s)  best: cx 26 tof 18
[2026-09-25 05:05:37] span_L5_s21_c1_z1_T1    748s  best 3881/4096  current 3775  kicks 7  iters 25042576 (33474/s)  best: cx 26 tof 18
[2026-09-25 05:05:52] span_L5_s21_c1_z1_T1    763s  best 3881/4096  current 3775  kicks 7  iters 25573945 (33509/s)  best: cx 26 tof 18
[2026-09-25 05:06:02] span_L5_s21_c1_z1_T1    773s  best 3881/4096  current 3775  kicks 7  iters 25921149 (33513/s)  best: cx 26 tof 18
[2026-09-25 05:06:17] span_L5_s21_c1_z1_T1    788s  best 3881/4096  current 3723  kicks 8  iters 26426042 (33544/s)  best: cx 26 tof 18
[2026-09-25 05:06:28] span_L5_s21_c1_z1_T1    799s  best 3881/4096  current 3749  kicks 8  iters 26774129 (33500/s)  best: cx 26 tof 18
[2026-09-25 05:06:43] span_L5_s21_c1_z1_T1    814s  best 3881/4096  current 3789  kicks 8  iters 27214784 (33429/s)  best: cx 26 tof 18
[2026-09-25 05:06:57] span_L5_s21_c1_z1_T1    829s  best 3881/4096  current 3789  kicks 8  iters 27671575 (33398/s)  best: cx 26 tof 18
[2026-09-25 05:07:08] span_L5_s21_c1_z1_T1    839s  best 3881/4096  current 3807  kicks 8  iters 27995622 (33364/s)  best: cx 26 tof 18
[2026-09-25 05:07:23] span_L5_s21_c1_z1_T1    854s  best 3881/4096  current 3745  kicks 9  iters 28468545 (33348/s)  best: cx 26 tof 18
[2026-09-25 05:07:38] span_L5_s21_c1_z1_T1    869s  best 3881/4096  current 3769  kicks 9  iters 28969704 (33351/s)  best: cx 26 tof 18
[2026-09-25 05:07:48] span_L5_s21_c1_z1_T1    879s  best 3881/4096  current 3769  kicks 9  iters 29297285 (33337/s)  best: cx 26 tof 18
[2026-09-25 05:08:02] span_L5_s21_c1_z1_T1    894s  best 3881/4096  current 3769  kicks 9  iters 29793998 (33342/s)  best: cx 26 tof 18
[2026-09-25 05:08:13] span_L5_s21_c1_z1_T1    904s  best 3881/4096  current 3803  kicks 9  iters 30124131 (33332/s)  best: cx 26 tof 18
[2026-09-25 05:08:27] span_L5_s21_c1_z1_T1    918s  best 3881/4096  current 3749  kicks 10  iters 30643644 (33374/s)  best: cx 26 tof 18
[2026-09-25 05:08:42] span_L5_s21_c1_z1_T1    933s  best 3881/4096  current 3785  kicks 10  iters 31190404 (33430/s)  best: cx 26 tof 18
[2026-09-25 05:08:53] span_L5_s21_c1_z1_T1    944s  best 3881/4096  current 3793  kicks 10  iters 31552959 (33437/s)  best: cx 26 tof 18
[2026-09-25 05:09:07] span_L5_s21_c1_z1_T1    958s  best 3881/4096  current 3811  kicks 10  iters 32067501 (33463/s)  best: cx 26 tof 18
[2026-09-25 05:09:22] span_L5_s21_c1_z1_T1    973s  best 3881/4096  current 3713  kicks 11  iters 32603909 (33500/s)  best: cx 26 tof 18
[2026-09-25 05:09:37] span_L5_s21_c1_z1_T1    988s  best 3881/4096  current 3771  kicks 11  iters 33161257 (33568/s)  best: cx 26 tof 18
[2026-09-25 05:09:47] span_L5_s21_c1_z1_T1    998s  best 3881/4096  current 3789  kicks 11  iters 33545104 (33612/s)  best: cx 26 tof 18
[2026-09-25 05:09:57] span_L5_s21_c1_z1_T1   1009s  best 3881/4096  current 3805  kicks 11  iters 33913685 (33626/s)  best: cx 26 tof 18
[2026-09-25 05:10:12] span_L5_s21_c1_z1_T1   1023s  best 3881/4096  current 3807  kicks 11  iters 34438118 (33653/s)  best: cx 26 tof 18
[2026-09-25 05:10:28] span_L5_s21_c1_z1_T1   1039s  best 3881/4096  current 3763  kicks 12  iters 35033676 (33706/s)  best: cx 26 tof 18
