basis ckpt/basis_s1.pkl: 286 ANF monomials
[span_L6_s76_c1_z3_basis] start fitness 3824 / 4096  (CZ layer 3, LCX 1, TEMP 1.00, MAXMUT 3, KICK 8 gates after 60s stuck)
[2026-09-25 10:38:02] span_L6_s76_c1_z3_basis     13s  best 3845/4096  current 3825  kicks 0  iters 9635 (739/s)  best: cx 30 tof 18
[2026-09-25 10:38:17] span_L6_s76_c1_z3_basis     28s  best 3856/4096  current 3836  kicks 0  iters 43701 (1562/s)  best: cx 29 tof 17
[2026-09-25 10:38:27] span_L6_s76_c1_z3_basis     38s  best 3856/4096  current 3846  kicks 0  iters 68157 (1791/s)  best: cx 29 tof 17
[2026-09-25 10:38:37] span_L6_s76_c1_z3_basis     48s  best 3856/4096  current 3841  kicks 0  iters 90679 (1882/s)  best: cx 29 tof 17
[2026-09-25 10:38:52] span_L6_s76_c1_z3_basis     63s  best 3856/4096  current 3835  kicks 0  iters 125124 (1988/s)  best: cx 29 tof 17
[2026-09-25 10:39:02] span_L6_s76_c1_z3_basis     73s  best 3856/4096  current 3831  kicks 0  iters 147745 (2023/s)  best: cx 29 tof 17
[2026-09-25 10:39:13] span_L6_s76_c1_z3_basis     83s  best 3856/4096  current 3836  kicks 0  iters 171326 (2054/s)  best: cx 29 tof 17
[2026-09-25 10:39:27] span_L6_s76_c1_z3_basis     98s  best 3856/4096  current 3830  kicks 1  iters 206255 (2096/s)  best: cx 29 tof 17
[2026-09-25 10:39:38] span_L6_s76_c1_z3_basis    109s  best 3856/4096  current 3836  kicks 1  iters 230321 (2121/s)  best: cx 29 tof 17
[2026-09-25 10:39:53] span_L6_s76_c1_z3_basis    123s  best 3856/4096  current 3833  kicks 1  iters 264789 (2145/s)  best: cx 29 tof 17
[2026-09-25 10:40:03] span_L6_s76_c1_z3_basis    134s  best 3874/4096  current 3871  kicks 1  iters 288152 (2158/s)  best: cx 33 tof 15
[2026-09-25 10:40:18] span_L6_s76_c1_z3_basis    149s  best 3879/4096  current 3877  kicks 1  iters 322225 (2168/s)  best: cx 31 tof 23
[2026-09-25 10:40:33] span_L6_s76_c1_z3_basis    164s  best 3881/4096  current 3877  kicks 1  iters 356544 (2177/s)  best: cx 32 tof 19
[2026-09-25 10:40:47] span_L6_s76_c1_z3_basis    178s  best 3882/4096  current 3873  kicks 1  iters 390658 (2190/s)  best: cx 29 tof 21
[2026-09-25 10:41:03] span_L6_s76_c1_z3_basis    194s  best 3885/4096  current 3882  kicks 1  iters 426642 (2201/s)  best: cx 32 tof 21
[2026-09-25 10:41:18] span_L6_s76_c1_z3_basis    209s  best 3886/4096  current 3879  kicks 1  iters 460123 (2206/s)  best: cx 31 tof 22
[2026-09-25 10:41:28] span_L6_s76_c1_z3_basis    219s  best 3887/4096  current 3878  kicks 1  iters 483464 (2212/s)  best: cx 36 tof 19
[2026-09-25 10:41:43] span_L6_s76_c1_z3_basis    234s  best 3889/4096  current 3886  kicks 1  iters 517755 (2216/s)  best: cx 32 tof 19
[2026-09-25 10:41:58] span_L6_s76_c1_z3_basis    249s  best 3890/4096  current 3882  kicks 1  iters 551686 (2219/s)  best: cx 35 tof 22
[2026-09-25 10:42:13] span_L6_s76_c1_z3_basis    264s  best 3890/4096  current 3884  kicks 1  iters 586119 (2222/s)  best: cx 35 tof 22
[2026-09-25 10:42:28] span_L6_s76_c1_z3_basis    279s  best 3890/4096  current 3880  kicks 1  iters 620454 (2227/s)  best: cx 35 tof 22
[2026-09-25 10:42:38] span_L6_s76_c1_z3_basis    289s  best 3890/4096  current 3878  kicks 1  iters 642978 (2226/s)  best: cx 35 tof 22
[2026-09-25 10:42:53] span_L6_s76_c1_z3_basis    303s  best 3890/4096  current 3879  kicks 1  iters 677850 (2233/s)  best: cx 35 tof 22
[2026-09-25 10:43:07] span_L6_s76_c1_z3_basis    318s  best 3890/4096  current 3835  kicks 2  iters 714088 (2244/s)  best: cx 35 tof 22
[2026-09-25 10:43:18] span_L6_s76_c1_z3_basis    329s  best 3890/4096  current 3827  kicks 2  iters 738666 (2244/s)  best: cx 35 tof 22
[2026-09-25 10:43:29] span_L6_s76_c1_z3_basis    340s  best 3890/4096  current 3857  kicks 2  iters 759800 (2235/s)  best: cx 35 tof 22
[2026-09-25 10:43:43] span_L6_s76_c1_z3_basis    354s  best 3890/4096  current 3846  kicks 2  iters 789986 (2231/s)  best: cx 35 tof 22
[2026-09-25 10:43:58] span_L6_s76_c1_z3_basis    369s  best 3890/4096  current 3838  kicks 2  iters 826385 (2240/s)  best: cx 35 tof 22
[2026-09-25 10:44:08] span_L6_s76_c1_z3_basis    379s  best 3890/4096  current 3858  kicks 3  iters 848964 (2238/s)  best: cx 35 tof 22
[2026-09-25 10:44:23] span_L6_s76_c1_z3_basis    394s  best 3890/4096  current 3862  kicks 3  iters 881624 (2237/s)  best: cx 35 tof 22
[2026-09-25 10:44:37] span_L6_s76_c1_z3_basis    408s  best 3890/4096  current 3853  kicks 3  iters 915979 (2243/s)  best: cx 35 tof 22
[2026-09-25 10:44:52] span_L6_s76_c1_z3_basis    423s  best 3890/4096  current 3854  kicks 3  iters 956021 (2259/s)  best: cx 35 tof 22
[2026-09-25 10:45:03] span_L6_s76_c1_z3_basis    434s  best 3890/4096  current 3861  kicks 3  iters 982084 (2264/s)  best: cx 35 tof 22
