basis ckpt/basis_s1.pkl: 286 ANF monomials
[span_L6_s94_c1_z3_basislong] start fitness 3824 / 4096  (CZ layer 3, LCX 1, TEMP 2.00, MAXMUT 3, KICK 8 gates after 60s stuck)
[2026-09-25 11:24:26] span_L6_s94_c1_z3_basislong     11s  best 3837/4096  current 3812  kicks 0  iters 30476 (2684/s)  best: cx 16 tof 12
[2026-09-25 11:24:36] span_L6_s94_c1_z3_basislong     21s  best 3839/4096  current 3817  kicks 0  iters 57240 (2667/s)  best: cx 26 tof 14
[2026-09-25 11:24:51] span_L6_s94_c1_z3_basislong     37s  best 3839/4096  current 3811  kicks 0  iters 98789 (2701/s)  best: cx 26 tof 14
[2026-09-25 11:25:06] span_L6_s94_c1_z3_basislong     51s  best 3839/4096  current 3811  kicks 0  iters 139727 (2722/s)  best: cx 26 tof 14
[2026-09-25 11:25:21] span_L6_s94_c1_z3_basislong     66s  best 3839/4096  current 3811  kicks 0  iters 181281 (2742/s)  best: cx 26 tof 14
[2026-09-25 11:25:31] span_L6_s94_c1_z3_basislong     77s  best 3839/4096  current 3820  kicks 0  iters 209689 (2724/s)  best: cx 26 tof 14
[2026-09-25 11:25:42] span_L6_s94_c1_z3_basislong     87s  best 3839/4096  current 3821  kicks 1  iters 235198 (2691/s)  best: cx 26 tof 14
[2026-09-25 11:25:56] span_L6_s94_c1_z3_basislong    102s  best 3839/4096  current 3823  kicks 1  iters 273782 (2691/s)  best: cx 26 tof 14
[2026-09-25 11:26:11] span_L6_s94_c1_z3_basislong    116s  best 3839/4096  current 3813  kicks 1  iters 314699 (2702/s)  best: cx 26 tof 14
[2026-09-25 11:26:21] span_L6_s94_c1_z3_basislong    127s  best 3839/4096  current 3814  kicks 1  iters 342527 (2702/s)  best: cx 26 tof 14
[2026-09-25 11:26:36] span_L6_s94_c1_z3_basislong    142s  best 3839/4096  current 3811  kicks 1  iters 382842 (2699/s)  best: cx 26 tof 14
[2026-09-25 11:26:48] span_L6_s94_c1_z3_basislong    153s  best 3839/4096  current 3811  kicks 2  iters 408499 (2663/s)  best: cx 26 tof 14
[2026-09-25 11:27:02] span_L6_s94_c1_z3_basislong    167s  best 3839/4096  current 3814  kicks 2  iters 444277 (2659/s)  best: cx 26 tof 14
[2026-09-25 11:27:12] span_L6_s94_c1_z3_basislong    177s  best 3839/4096  current 3811  kicks 2  iters 470072 (2650/s)  best: cx 26 tof 14
[2026-09-25 11:27:27] span_L6_s94_c1_z3_basislong    192s  best 3839/4096  current 3821  kicks 2  iters 509778 (2653/s)  best: cx 26 tof 14
[2026-09-25 11:27:37] span_L6_s94_c1_z3_basislong    202s  best 3839/4096  current 3811  kicks 2  iters 537033 (2655/s)  best: cx 26 tof 14
[2026-09-25 11:27:47] span_L6_s94_c1_z3_basislong    212s  best 3839/4096  current 3814  kicks 3  iters 563259 (2653/s)  best: cx 26 tof 14
[2026-09-25 11:28:02] span_L6_s94_c1_z3_basislong    227s  best 3839/4096  current 3811  kicks 3  iters 602773 (2654/s)  best: cx 26 tof 14
[2026-09-25 11:28:12] span_L6_s94_c1_z3_basislong    237s  best 3839/4096  current 3816  kicks 3  iters 630139 (2657/s)  best: cx 26 tof 14
[2026-09-25 11:28:22] span_L6_s94_c1_z3_basislong    247s  best 3839/4096  current 3815  kicks 3  iters 656983 (2656/s)  best: cx 26 tof 14
[2026-09-25 11:28:37] span_L6_s94_c1_z3_basislong    262s  best 3839/4096  current 3811  kicks 3  iters 696803 (2657/s)  best: cx 26 tof 14
[2026-09-25 11:28:47] span_L6_s94_c1_z3_basislong    272s  best 3839/4096  current 3817  kicks 4  iters 723814 (2658/s)  best: cx 26 tof 14
[2026-09-25 11:29:01] span_L6_s94_c1_z3_basislong    287s  best 3839/4096  current 3815  kicks 4  iters 763985 (2661/s)  best: cx 26 tof 14
[2026-09-25 11:29:12] span_L6_s94_c1_z3_basislong    297s  best 3839/4096  current 3811  kicks 4  iters 790527 (2661/s)  best: cx 26 tof 14
[2026-09-25 11:29:22] span_L6_s94_c1_z3_basislong    308s  best 3839/4096  current 3811  kicks 4  iters 817953 (2657/s)  best: cx 26 tof 14
[2026-09-25 11:29:34] span_L6_s94_c1_z3_basislong    320s  best 3839/4096  current 3811  kicks 4  iters 841172 (2631/s)  best: cx 26 tof 14
[2026-09-25 11:29:49] span_L6_s94_c1_z3_basislong    335s  best 3839/4096  current 3811  kicks 5  iters 872244 (2604/s)  best: cx 26 tof 14
[2026-09-25 11:29:59] span_L6_s94_c1_z3_basislong    345s  best 3839/4096  current 3813  kicks 5  iters 892760 (2588/s)  best: cx 26 tof 14
[2026-09-25 11:30:10] span_L6_s94_c1_z3_basislong    356s  best 3839/4096  current 3829  kicks 5  iters 912556 (2565/s)  best: cx 26 tof 14
[2026-09-25 11:30:25] span_L6_s94_c1_z3_basislong    371s  best 3839/4096  current 3815  kicks 5  iters 942643 (2542/s)  best: cx 26 tof 14
[2026-09-25 11:30:37] span_L6_s94_c1_z3_basislong    383s  best 3839/4096  current 3825  kicks 5  iters 958334 (2504/s)  best: cx 26 tof 14
[2026-09-25 11:30:51] span_L6_s94_c1_z3_basislong    396s  best 3840/4096  current 3817  kicks 6  iters 991538 (2502/s)  best: cx 25 tof 15
[2026-09-25 11:31:01] span_L6_s94_c1_z3_basislong    407s  best 3840/4096  current 3814  kicks 6  iters 1011614 (2485/s)  best: cx 25 tof 15
