[span_L7_s63_c1_z3_long] start fitness 3232 / 4096  (CZ layer 3, LCX 1, TEMP 1.00, MAXMUT 3, KICK 8 gates after 60s stuck)
[2026-09-25 07:17:15] span_L7_s63_c1_z3_long     12s  best 3510/4096  current 3510  kicks 0  iters 28582 (2320/s)  best: cx 38 tof 24
[2026-09-25 07:17:29] span_L7_s63_c1_z3_long     27s  best 3586/4096  current 3580  kicks 0  iters 63283 (2323/s)  best: cx 36 tof 25
[2026-09-25 07:17:44] span_L7_s63_c1_z3_long     42s  best 3589/4096  current 3576  kicks 0  iters 98724 (2338/s)  best: cx 41 tof 27
[2026-09-25 07:17:55] span_L7_s63_c1_z3_long     52s  best 3589/4096  current 3588  kicks 0  iters 121724 (2323/s)  best: cx 41 tof 27
[2026-09-25 07:18:10] span_L7_s63_c1_z3_long     67s  best 3594/4096  current 3593  kicks 0  iters 155950 (2313/s)  best: cx 42 tof 27
[2026-09-25 07:18:25] span_L7_s63_c1_z3_long     83s  best 3594/4096  current 3591  kicks 0  iters 189323 (2291/s)  best: cx 42 tof 27
[2026-09-25 07:18:40] span_L7_s63_c1_z3_long     97s  best 3594/4096  current 3591  kicks 0  iters 222727 (2286/s)  best: cx 42 tof 27
[2026-09-25 07:18:54] span_L7_s63_c1_z3_long    112s  best 3603/4096  current 3603  kicks 0  iters 258301 (2314/s)  best: cx 40 tof 26
[2026-09-25 07:19:04] span_L7_s63_c1_z3_long    122s  best 3609/4096  current 3607  kicks 0  iters 284409 (2335/s)  best: cx 41 tof 29
[2026-09-25 07:19:19] span_L7_s63_c1_z3_long    137s  best 3609/4096  current 3607  kicks 0  iters 322758 (2359/s)  best: cx 41 tof 29
[2026-09-25 07:19:29] span_L7_s63_c1_z3_long    147s  best 3610/4096  current 3607  kicks 0  iters 348259 (2371/s)  best: cx 43 tof 27
[2026-09-25 07:19:39] span_L7_s63_c1_z3_long    157s  best 3610/4096  current 3609  kicks 0  iters 373825 (2381/s)  best: cx 43 tof 27
[2026-09-25 07:19:54] span_L7_s63_c1_z3_long    172s  best 3610/4096  current 3606  kicks 0  iters 411447 (2393/s)  best: cx 43 tof 27
[2026-09-25 07:20:09] span_L7_s63_c1_z3_long    187s  best 3614/4096  current 3611  kicks 0  iters 449629 (2405/s)  best: cx 42 tof 29
[2026-09-25 07:20:24] span_L7_s63_c1_z3_long    202s  best 3621/4096  current 3621  kicks 0  iters 487790 (2418/s)  best: cx 40 tof 29
[2026-09-25 07:20:34] span_L7_s63_c1_z3_long    212s  best 3621/4096  current 3621  kicks 0  iters 513745 (2423/s)  best: cx 40 tof 29
[2026-09-25 07:20:49] span_L7_s63_c1_z3_long    227s  best 3621/4096  current 3621  kicks 0  iters 551878 (2431/s)  best: cx 40 tof 29
[2026-09-25 07:21:04] span_L7_s63_c1_z3_long    242s  best 3622/4096  current 3621  kicks 0  iters 589556 (2438/s)  best: cx 40 tof 27
[2026-09-25 07:21:14] span_L7_s63_c1_z3_long    252s  best 3622/4096  current 3621  kicks 0  iters 615460 (2444/s)  best: cx 40 tof 27
[2026-09-25 07:21:29] span_L7_s63_c1_z3_long    267s  best 3622/4096  current 3615  kicks 0  iters 654208 (2451/s)  best: cx 40 tof 27
[2026-09-25 07:21:39] span_L7_s63_c1_z3_long    277s  best 3622/4096  current 3615  kicks 0  iters 679543 (2454/s)  best: cx 40 tof 27
[2026-09-25 07:21:54] span_L7_s63_c1_z3_long    292s  best 3622/4096  current 3617  kicks 0  iters 718159 (2462/s)  best: cx 40 tof 27
[2026-09-25 07:22:04] span_L7_s63_c1_z3_long    302s  best 3622/4096  current 3469  kicks 1  iters 744438 (2465/s)  best: cx 40 tof 27
[2026-09-25 07:22:14] span_L7_s63_c1_z3_long    312s  best 3622/4096  current 3471  kicks 1  iters 768532 (2461/s)  best: cx 40 tof 27
[2026-09-25 07:22:29] span_L7_s63_c1_z3_long    327s  best 3622/4096  current 3498  kicks 1  iters 805331 (2461/s)  best: cx 40 tof 27
